start_height = 2.0
stop_height = 0.4
start_point = 12
v0 = 0.4
tau_dot = 0.75
buf_size = 1
order = 1
r.length = 0

stage	r	t	r_filt	v	tau	v_need	a_need	cmnd	marker
buf	1.642	1554505689.75	1.642	0.0	0.0	0.0	0.0	0.01	0.0
buf	1.644	1554505689.82	1.644	0.0316752054132	51.9017944336	0.0	0.0	-0.01	0.0
buf	1.639	1554505689.88	1.639	-0.0755240564679	-21.7016944885	0.0	0.0	-0.01	0.0
buf	1.639	1554505689.95	1.639	0.0	-1639.0	0.0	0.0	-0.01	0.0
buf	1.637	1554505690.01	1.637	-0.0309545015092	-52.8840692043	0.0	0.0	-0.01	0.0
buf	1.64	1554505690.08	1.64	0.0451875026934	36.29322052	0.0	0.0	-0.01	0.0
buf	1.646	1554505690.14	1.646	0.0911980344052	18.0486346086	0.0	0.0	-0.01	0.0
buf	1.647	1554505690.21	1.647	0.0154652665113	106.496709824	0.0	0.0	-0.01	0.0
buf	1.645	1554505690.27	1.645	-0.0305909072675	-53.7741488218	0.0	0.0	-0.01	0.0
buf	1.642	1554505690.34	1.642	-0.0449632194505	-36.5187373161	0.0	0.0	-0.01	0.0
buf	1.644	1554505690.4	1.644	0.0316300591984	51.9758749008	0.0	0.0	-0.01	0.0
ef	1.642	1554505690.47	1.642	-0.0300340776862	-54.6712310314	0.0	0.0	-0.01	0.0
ef	1.638	1554505690.54	1.638	-0.0616875181545	-26.5531836748	-0.0616487986806	0.000580792108679	-0.086	1
ef	1.64	1554505690.6	1.64	0.0305413450616	53.6977005005	0.0305508244697	0.000142191121673	-0.01	1
ef	1.641	1554505690.67	1.641	0.0152399888088	107.677244425	0.0152423477085	3.53834946516e-05	-0.01	1
ef	1.639	1554505690.73	1.639	-0.030995676882	-52.8783419132	-0.0309859073886	0.000146542401674	-0.04	1
ef	1.638	1554505690.8	1.638	-0.0151517375912	-108.106412888	-0.0151494016617	3.5038942618e-05	-0.016	1
ef	1.636	1554505690.86	1.636	-0.0307991408588	-53.1183648109	-0.0307894771762	0.000144955238025	-0.04	1
ef	1.632	1554505690.93	1.632	-0.0609745775956	-26.765253067	-0.0609366088546	0.000569531114117	-0.085	1
ef	1.628	1554505690.99	1.628	-0.0605647243992	-26.880333662	-0.0605271723329	0.000563280995324	-0.084	1
ef	1.63	1554505691.06	1.63	0.0309104737199	52.7329349518	0.0309202432228	0.000146542543802	-0.01	1
ef	1.627	1554505691.12	1.627	-0.0457101672503	-35.5938316981	-0.0456887636508	0.000321053993555	-0.062	1
ef	1.625	1554505691.19	1.625	-0.0305059149111	-53.2683581114	-0.0304963701845	0.000143170899164	-0.039	1
ef	1.62	1554505691.25	1.62	-0.0766884123687	-21.1244430542	-0.0766279070951	0.000907579103647	-0.107	1
ef	1.616	1554505691.32	1.616	-0.0603764111459	-26.76541996	-0.0603388151164	0.000563940442893	-0.084	1
ef	1.61	1554505691.39	1.61	-0.0863769019286	-18.6392422517	-0.0862996662228	0.00115853558801	-0.121	1
ef	1.613	1554505691.45	1.613	0.0474916474807	33.9638670286	0.047514952467	0.000349574795478	-0.01	1
ef	1.613	1554505691.52	1.613	0.0	-1613.0	0.0	-0.0	-0.01	1
ef	1.611	1554505691.58	1.611	-0.0299034588964	-53.8733664751	-0.0298942077392	0.000138767357848	-0.038	1
ef	1.608	1554505691.65	1.608	-0.0468448892066	-34.3260498047	-0.0468221441439	0.000341175939797	-0.064	1
ef	1.606	1554505691.72	1.606	-0.026675977778	-60.2039787769	-0.0266685928902	0.000110773317312	-0.034	1
ef	1.603	1554505691.78	1.603	-0.0538492996504	-29.7682608763	-0.0538191504814	0.000452237534753	-0.074	1
ef	1.599	1554505691.84	1.599	-0.0610369119948	-26.1972624063	-0.0609980803852	0.00058247414413	-0.085	1
ef	1.596	1554505691.91	1.596	-0.0453706406669	-35.1769332886	-0.0453491442693	0.000322445964055	-0.062	1
ef	1.593	1554505691.97	1.593	-0.0464052103425	-34.3280417919	-0.0463826800689	0.000337954103411	-0.063	1
ef	1.591	1554505692.04	1.591	-0.0305190111509	-52.1314400434	-0.0305092540795	0.000146356071909	-0.039	1
ef	1.589	1554505692.11	1.589	-0.0302402243699	-52.5459064245	-0.0302306326858	0.000143875262735	-0.039	1
ef	1.585	1554505692.17	1.585	-0.0623899386038	-25.4047372937	-0.0623490079577	0.000613959690691	-0.087	1
ef	1.582	1554505692.24	1.582	-0.0452269703145	-34.9791283607	-0.0452054208113	0.000323242548014	-0.061	1
ef	1.582	1554505692.32	1.582	0.0	-1582.0	0.0	-0.0	-0.01	1
ef	1.583	1554505692.37	1.583	0.0198916991136	79.5809342861	0.0198958650401	6.24888966562e-05	-0.01	1
ef	1.582	1554505692.43	1.582	-0.0154569455398	-102.34881115	-0.0154544285026	3.77555571144e-05	-0.017	1
ef	1.576	1554505692.5	1.576	-0.091897723538	-17.1494998932	-0.0918084131363	0.00133965602657	-0.129	1
ef	1.571	1554505692.56	1.571	-0.0760548628791	-20.6561413765	-0.0759934970593	0.000920487295919	-0.107	1
ef	1.565	1554505692.63	1.565	-0.092016000351	-17.0079116027	-0.0919258305499	0.00135254701607	-0.13	1
ef	1.567	1554505692.69	1.567	0.0304354110732	51.4860796928	0.0304452633839	0.000147784659731	-0.01	1
ef	1.565	1554505692.76	1.565	-0.030177671293	-51.8595349789	-0.0301679727643	0.000145477930458	-0.039	1
ef	1.562	1554505692.82	1.562	-0.046596992264	-33.5214769045	-0.0465738245337	0.000347515955194	-0.063	1
ef	1.559	1554505692.89	1.559	-0.0455130865055	-34.2538843155	-0.0454909415296	0.00033217463811	-0.062	1
ef	1.555	1554505692.96	1.555	-0.0609198904858	-25.5253249407	-0.0608801130682	0.000596661263151	-0.084	1
ef	1.549	1554505693.02	1.549	-0.0919766529854	-16.8412303527	-0.0918856296941	0.00136534936966	-0.13	1
ef	1.541	1554505693.09	1.541	-0.123114747602	-12.5167782903	-0.122950814647	0.00245899433439	-0.174	1
ef	1.535	1554505693.15	1.535	-0.0917248890152	-16.7348253727	-0.0916335377094	0.00137026958711	-0.129	1
ef	1.528	1554505693.22	1.528	-0.10819184069	-14.1230613164	-0.108064163177	0.00191516269502	-0.153	1
ef	1.522	1554505693.28	1.522	-0.0900980394965	-16.8927094142	-0.0900091470663	0.00133338645222	-0.127	1
ef	1.512	1554505693.35	1.512	-0.15501217759	-9.75407238007	-0.154747310138	0.00397301177266	-0.219	1
ef	1.511	1554505693.41	1.511	-0.0151240376884	-99.9071829319	-0.0151215146736	3.78452210455e-05	-0.016	1
ef	1.507	1554505693.48	1.507	-0.0620259605822	-24.2962782979	-0.0619834122546	0.000638224914756	-0.086	1
ef	1.492	1554505693.54	1.492	-0.229343987402	-6.50551172892	-0.228756424125	0.00881344915505	-0.319	1
ef	1.482	1554505693.61	1.482	-0.150654765539	-9.83706021309	-0.15039951522	0.0038287547874	-0.212	1
ef	1.476	1554505693.67	1.476	-0.0920102811221	-16.0416855812	-0.0919146861376	0.00143392476832	-0.13	1
ef	1.465	1554505693.74	1.465	-0.169724298017	-8.6316456578	-0.169396580869	0.0049157572248	-0.239	1
ef	1.454	1554505693.81	1.454	-0.167275200586	-8.69226277958	-0.166954464768	0.00481103726462	-0.235	1
ef	1.442	1554505693.87	1.442	-0.182968286051	-7.8811472257	-0.182581353622	0.00580398642517	-0.257	1
ef	1.436	1554505693.94	1.436	-0.0924772130967	-15.5281496048	-0.0923779554952	0.00148886402196	-0.13	1
ef	1.425	1554505694.0	1.425	-0.168711422501	-8.44637534835	-0.168378515553	0.00499360422498	-0.237	1
ef	1.417	1554505694.07	1.417	-0.120405744264	-11.7685415149	-0.120235225054	0.0025577881531	-0.17	1
ef	1.406	1554505694.13	1.406	-0.165887676001	-8.47561454773	-0.165561470203	0.00489308695748	-0.234	1
ef	1.395	1554505694.2	1.395	-0.165804810557	-8.41350739652	-0.165476360913	0.00492674466018	-0.233	1
ef	1.382	1554505694.26	1.382	-0.207052976536	-6.67462029824	-0.206535960918	0.00775523427868	-0.29	1
ef	1.37	1554505694.33	1.37	-0.185042143227	-7.40371882916	-0.18462559098	0.00624828371719	-0.26	1
ef	1.357	1554505694.39	1.357	-0.197223374857	-6.88052316812	-0.196745641381	0.00716600213523	-0.276	1
ef	1.343	1554505694.46	1.343	-0.214968099049	-6.24743860109	-0.214394615758	0.00860224936871	-0.3	1
ef	1.332	1554505694.53	1.332	-0.163340581532	-8.15474016016	-0.163006745876	0.00500753483016	-0.23	1
ef	1.321	1554505694.59	1.321	-0.169045843592	-7.81444826993	-0.168685302371	0.00540811832625	-0.238	1
ef	1.308	1554505694.66	1.308	-0.203414817219	-6.43021004017	-0.202887579861	0.0079085603716	-0.285	1
ef	1.295	1554505694.72	1.295	-0.197556365534	-6.55509123435	-0.19705406801	0.00753446284997	-0.277	1
ef	1.282	1554505694.79	1.282	-0.199166281308	-6.43683253802	-0.198650586981	0.00773541490056	-0.279	1
ef	1.269	1554505694.85	1.269	-0.196802673799	-6.44808312563	-0.196293988582	0.00763027825341	-0.276	1
ef	1.253	1554505694.92	1.253	-0.249524493673	-5.0215511173	-0.248696314996	0.0124226801562	-0.346	1
ef	1.243	1554505694.98	1.243	-0.15137082804	-8.21162185669	-0.151063599191	0.00460843273966	-0.213	1
ef	1.227	1554505695.05	1.227	-0.244985448837	-5.00846073031	-0.244170210177	0.0122285798985	-0.34	1
ef	1.213	1554505695.12	1.213	-0.207311863186	-5.85108821733	-0.206721340946	0.00885783359804	-0.29	1
ef	1.202	1554505695.18	1.202	-0.17450619544	-6.88800759749	-0.174083949014	0.0063336963908	-0.245	1
ef	1.189	1554505695.24	1.189	-0.200009361118	-5.94472175378	-0.199448613368	0.00841121626051	-0.28	1
ef	1.177	1554505695.31	1.177	-0.181041929996	-6.50125636657	-0.180577809627	0.00696180552602	-0.254	1
ef	1.166	1554505695.38	1.166	-0.162627799182	-7.16974592209	-0.162249757428	0.00567062630073	-0.229	1
ef	1.154	1554505695.44	1.154	-0.192505232238	-5.99464225769	-0.191970017558	0.00802822019909	-0.27	1
ef	1.143	1554505695.51	1.143	-0.165807789893	-6.89352412657	-0.165406911748	0.0060131721761	-0.233	1
ef	1.131	1554505695.57	1.131	-0.184624025648	-6.12596327066	-0.184121726343	0.007534489577	-0.259	1
ef	1.121	1554505695.64	1.121	-0.153749019435	-7.29110341072	-0.153397565957	0.00527180218049	-0.217	1
ef	1.111	1554505695.7	1.111	-0.152921634254	-7.26515908241	-0.15257082378	0.00526215711589	-0.216	1
ef	1.099	1554505695.77	1.099	-0.18446230979	-5.95785665512	-0.183946290018	0.00774029657256	-0.259	1
ef	1.088	1554505695.83	1.088	-0.168561641433	-6.45461203835	-0.168126392859	0.00652872862194	-0.237	1
ef	1.08	1554505695.9	1.08	-0.120835009075	-8.93780708313	-0.120609683467	0.00337988412457	-0.171	1
ef	1.069	1554505695.96	1.069	-0.163795212247	-6.52644228935	-0.163376926129	0.00627429175747	-0.231	1
ef	1.059	1554505696.03	1.059	-0.156042739367	-6.786602211	-0.155659526643	0.0057481908662	-0.22	1
ef	1.047	1554505696.09	1.047	-0.184913655902	-5.66210210323	-0.184369353767	0.00816453202939	-0.259	1
ef	1.037	1554505696.16	1.037	-0.15018652	-6.90474750996	-0.149824000058	0.00543779912964	-0.212	1
ef	1.026	1554505696.23	1.026	-0.165744650889	-6.19024502147	-0.165298398626	0.00669378394207	-0.233	1
ef	1.016	1554505696.29	1.016	-0.157748801173	-6.44061946869	-0.157340587849	0.00612319986999	-0.222	1
ef	1.009	1554505696.36	1.009	-0.107240248522	-9.40878088134	-0.10705028369	0.00284947247348	-0.151	1
ef	0.999	1554505696.42	0.999	-0.151128118098	-6.61028544903	-0.150747075253	0.0057156426626	-0.213	1
ef	0.988	1554505696.49	0.988	-0.163909847947	-6.02770371871	-0.163456635425	0.00679818781727	-0.231	1
ef	0.981	1554505696.55	0.981	-0.108581158145	-9.03471667426	-0.108380854579	0.00300455349236	-0.153	1
ef	0.97	1554505696.62	0.97	-0.173103106205	-5.60359673067	-0.172588249068	0.00772285705616	-0.243	1
ef	0.959	1554505696.68	0.959	-0.162086176914	-5.91660571098	-0.16162959143	0.00684878225927	-0.228	1
ef	0.95	1554505696.75	0.95	-0.141434005245	-6.71691364712	-0.141083065283	0.00526409943152	-0.199	1
ef	0.941	1554505696.81	0.941	-0.136651460138	-6.88613205486	-0.136320719409	0.00496111093461	-0.193	1
ef	0.932	1554505696.88	0.932	-0.135499249794	-6.87826686435	-0.135170922778	0.00492490522925	-0.191	1
