stage	r	t	r_filt	v	tau	v_need	a_need	cmnd	marker
buf	1.183	5.21916794777	1.183	0.0	0.0	0.0	0.0	0.4	0.0
buf	1.177	5.28125786781	1.177	-0.0966340429454	-12.1799726486	0.0	0.0	-0.4	0.0
buf	1.17	5.35115885735	1.17	-0.100141643871	-11.6834511076	0.0	0.0	-0.4	0.0
buf	1.163	5.41185498238	1.163	-0.115328614413	-10.0842276301	0.0	0.0	-0.4	0.0
buf	1.154	5.48273992538	1.154	-0.126966314961	-9.08902491464	0.0	0.0	-0.4	0.0
buf	1.139	5.54238986969	1.139	-0.251467124985	-4.52941910426	0.0	0.0	-0.4	0.0
buf	1.122	5.61139202118	1.122	-0.246369129557	-4.55414199829	0.0	0.0	-0.4	0.0
buf	1.104	5.67354393005	1.104	-0.289612987372	-3.8119837443	0.0	0.0	-0.4	0.0
buf	1.085	5.74484801292	1.085	-0.266464404773	-4.07183841655	0.0	0.0	-0.4	0.0
buf	1.065	5.80551886559	1.065	-0.329647584017	-3.23072290421	0.0	0.0	-0.4	0.0
buf	1.043	5.87567090988	1.043	-0.313604545964	-3.3258446455	0.0	0.0	-0.4	0.0
ef	1.022	5.93515491486	1.022	-0.353036081028	-2.89488824209	0.0	0.0	-0.4	0.0
ef	0.996	6.00546002388	0.996	-0.369816651463	-2.69322648415	-0.367528091294	0.0343284025349	-0.01	1
ef	0.973	6.06544804573	0.973	-0.38340987568	-2.53775414177	-0.380891836406	0.0377705890978	-0.01	1
ef	0.95	6.13556003571	0.95	-0.328046600991	-2.89593002071	-0.326158626036	0.0283196243215	-0.01	1
ef	0.929	6.19691896439	0.929	-0.342248478773	-2.71440213067	-0.340147043157	0.0315215342363	-0.01	1
ef	0.913	6.26592302322	0.913	-0.231870418486	-3.93754410744	-0.230888967392	0.0147217664209	-0.01	1
ef	0.899	6.32721400261	0.899	-0.228418604832	-3.93575646196	-0.22745132528	0.0145091932796	-0.01	1
ef	0.881	6.46164298058	0.881	-0.133899701332	-6.5795516438	-0.133560519909	0.00508772134412	-0.01	1
ef	0.874	6.52377104759	0.874	-0.112670493967	-7.75713293893	-0.112428414635	0.00363118999166	-0.01	1
ef	0.87	6.59292292595	0.87	-0.0578436926811	-15.0405335426	-0.0577795951182	0.000961463443387	-0.01	1
ef	0.867	6.65412306786	0.867	-0.0490194941798	-17.686841011	-0.0489733021227	0.000692880856298	-0.01	1
ef	0.866	6.72364807129	0.866	-0.0143833146439	-60.2086529732	-0.0143793331247	5.97227887258e-05	-0.01	1
ef	0.867	6.78485798836	0.867	0.0163372219387	53.0689980984	0.0163423527504	7.69621743587e-05	-0.0163423527504	1
ef	0.872	6.85520386696	0.872	0.0710773694128	12.268321228	0.0711739289014	0.00144839232874	-0.0711739289014	1
