r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.148,5.08335709572,1.148,0.0,0.0,0.0,0.0,0.4,0.0
1.145,5.14840507507,1.145,0.0461198031016,24.8266454538,0.0,0.0,-0.4,0.0
1.139,5.2130959034,1.139,0.0927488510428,12.2804755767,0.0,0.0,-0.4,0.0
1.129,5.27821397781,1.129,0.153567194508,7.35183060169,0.0,0.0,-0.4,0.0
1.117,5.34315800667,1.117,0.184774492924,6.04520668586,0.0,0.0,-0.4,0.0
1.104,5.40777993202,1.104,0.201170112602,5.48789273776,0.0,0.0,-0.4,0.0
1.089,5.47406411171,1.089,0.226298342541,4.81223144531,0.0,0.0,-0.4,0.0
1.071,5.53835010529,1.071,0.279998783541,3.82501661777,0.0,0.0,-0.4,0.0
1.056,5.60430598259,1.056,0.227424766573,4.64329376221,0.0,0.0,-0.4,0.0
1.039,5.66794705391,1.039,0.267123095943,3.88959253536,0.0,0.0,-0.4,0.0
1.017,5.73336410522,1.017,0.336303755025,3.02405187217,0.0,0.0,-0.4,0.0
0.993,5.79825806618,0.993,0.36983410548,2.68498763442,0.0,0.0,-0.4,0.0
0.968,5.86325907707,0.968,0.384609403083,2.51683914185,0.387156310674,0.038203613879,-0.387156310674,1
0.942,5.92811393738,0.942,0.400895166182,2.34974147723,0.403738707128,0.0426531141901,-0.403738707128,1
0.916,5.99414896965,0.916,0.393730404988,2.32646498313,0.396551067867,0.0423099431802,-0.396551067867,1
0.89,6.05881309509,0.89,0.402077656229,2.21350275553,0.405105117683,0.0454119218085,-0.405105117683,1
0.867,6.12293195724,0.867,0.358708798441,2.41700232547,0.36118230867,0.0371026534254,-0.36118230867,1
0.844,6.18790197372,0.844,0.354009453072,2.38411712646,0.356484229788,0.03712165073,-0.356484229788,1
0.821,6.25506210327,0.821,0.342465092833,2.39732462427,0.34484597671,0.0357132581635,-0.34484597671,1
0.801,6.31790208817,0.801,0.318268695223,2.516741395,0.320376372343,0.0316151567912,-0.320376372343,1
0.78,6.38309693336,0.78,0.322111356131,2.4215228217,0.324328358818,0.0332550403041,-0.324328358818,1
0.762,6.44863390923,0.762,0.274654113401,2.77439864477,0.276304045204,0.0247489770368,-0.276304045204,1
0.743,6.51405596733,0.743,0.290421924198,2.55834679855,0.292313913746,0.0283798432217,-0.292313913746,1
0.727,6.57844209671,0.727,0.24850072763,2.92554475367,0.249916422532,0.0212354235325,-0.249916422532,1
0.713,6.64329409599,0.713,0.215876151157,3.30281967776,0.216965503953,0.0163402919489,-0.216965503953,1
0.7,6.7089600563,0.7,0.197971672664,3.53585940141,0.198904834168,0.0139974225633,-0.198904834168,1
0.686,6.77336192131,0.686,0.21738500894,3.15569138527,0.218533119779,0.0172216625773,-0.218533119779,1
0.676,6.83845901489,0.676,0.153616689313,4.40056352615,0.154198496198,0.00872710326758,-0.154198496198,1
0.665,6.90353393555,0.665,0.169035934111,3.93407474865,0.169752053084,0.0107417845943,-0.169752053084,1
0.658,6.97045993805,0.658,0.104593128803,6.29104423523,0.104870224107,0.00415642955653,-0.104870224107,1
0.651,7.03323411942,0.651,0.111510813008,5.83799886704,0.111829160714,0.00477521559816,-0.111829160714,1
0.643,7.09878611565,0.643,0.122040524469,5.26874169707,0.122426576558,0.00579078134236,-0.122426576558,1
0.636,7.16660308838,0.636,0.1032189984,6.1616563797,0.103498195508,0.00418795661587,-0.103498195508,1
0.63,7.23225498199,0.63,0.0913911186647,6.89344882965,0.0916120799497,0.00331441927412,-0.0916120799497,1
0.626,7.29583692551,0.626,0.0629109426208,9.95057415962,0.0630163150037,0.00158058574339,-0.0630163150037,1
0.622,7.3577311039,0.622,0.0646264334387,9.62454473972,0.0647383459762,0.0016786880623,-0.0647383459762,1
0.62,7.4236869812,0.62,0.0303233022097,20.4463219643,0.0303480200231,0.000370767200364,-0.0303480200231,1
0.617,7.4889330864,0.617,0.0459797560494,13.4189489683,0.0460368640442,0.000856619921542,-0.0460368640442,1
0.615,7.5528819561,0.615,0.0312749859258,19.6642774343,0.0313014933714,0.00039761168482,-0.0313014933714,1
0.612,7.6177508831,0.612,0.046247103793,13.2332611084,0.0463053498336,0.00087369060835,-0.0463053498336,1
0.61,7.68344211578,0.61,0.030445463091,20.0358259678,0.0304707889441,0.00037988779624,-0.0304707889441,1
0.61,7.74928689003,0.61,-0.0,-610.0,0.0,0.0,-0.01,1
0.611,7.81346893311,0.611,-0.015580681949,-39.2152283192,-0.0155740600819,9.93280073638e-05,-0.01,1
0.612,7.87954592705,0.612,-0.0151338603701,-40.4391202927,-0.0151276230681,9.35595301073e-05,-0.01,1
0.613,7.9428460598,0.613,-0.0157977551789,-38.8029813767,-0.015790969723,0.000101781838782,-0.01,1
0.616,8.00836396217,0.616,-0.0457890117248,-13.4530092875,-0.0457322846254,0.000850906491369,-0.01,1
0.618,8.07327699661,0.618,-0.0308104530513,-20.0581276417,-0.0307848520799,0.000384014570074,-0.01,1
0.62,8.13834309578,0.62,-0.0307379730091,-20.1704907417,-0.0307125745418,0.000380977009964,-0.01,1
0.621,8.20245194435,0.621,-0.0155984707615,-39.8115949631,-0.015591940641,9.79518076076e-05,-0.01,1
0.624,8.26902699471,0.624,-0.0450619261127,-13.8476104736,-0.0450076906109,0.000813532526036,-0.01,1
0.625,8.33421993256,0.625,-0.0153390847684,-40.7455861568,-0.0153328104345,9.41150086134e-05,-0.01,1
0.628,8.39817500114,0.628,-0.0469079318688,-13.3879276911,-0.0468495360601,0.000875937130655,-0.01,1
0.632,8.46317195892,0.632,-0.0615413418826,-10.2695193291,-0.0614414648583,0.0014981553642,-0.01,1
0.637,8.52726793289,0.637,-0.0780080196996,-8.16582708359,-0.077848803291,0.0023882461293,-0.01,1
0.637,8.59286689758,0.637,-0.0,-637.0,0.0,0.0,-0.01,1
0.638,8.65764093399,0.638,-0.0154382844649,-41.325835228,-0.0154320582207,9.33936627037e-05,-0.01,1
0.637,8.72234392166,0.637,0.0154552368599,41.2158031464,0.0154614865812,9.37458188371e-05,-0.0154614865812,1
0.635,8.78723502159,0.635,0.0308208676099,20.6029242277,0.0308458000477,0.000373986567019,-0.0308458000477,1
0.633,8.85219097137,0.633,0.0307900970838,20.5585581064,0.0308150583813,0.000374419462255,-0.0308150583813,1
0.634,8.91817092896,0.634,-0.0151561176556,-41.8312931061,-0.0151500790672,9.05788258633e-05,-0.01,1
0.635,8.98260211945,0.635,-0.0155204333861,-40.9138059616,-0.0155141109753,9.48361623989e-05,-0.01,1
0.633,9.04813194275,0.633,0.0305204546447,20.7401890755,0.0305449806624,0.000367890265291,-0.0305449806624,1
0.629,9.11304306984,0.629,0.0616227167713,10.207274735,0.0617233357226,0.00150928426958,-0.0617233357226,1
0.628,9.17706489563,0.628,0.0156196732545,40.2057065964,0.0156261481534,9.71234843058e-05,-0.0156261481534,1
0.626,9.24305701256,0.626,0.030306650144,20.6555325985,0.0303311041653,0.000366810320667,-0.0303311041653,1
0.625,9.30748605728,0.625,0.015520950284,40.2681529522,0.0155273742813,9.63599590875e-05,-0.0155273742813,1
0.625,9.37287092209,0.625,-0.0,-625.0,0.0,0.0,-0.01,1
0.624,9.4388449192,0.624,0.0151574869451,41.1677742004,0.0151636234143,9.20470394589e-05,-0.0151636234143,1
0.624,9.50338697433,0.624,-0.0,-624.0,0.0,0.0,-0.01,1
