start_height = 1.6
stop_height = 0.5
start_point = 12
v0 = 0.4
tau_dot = 0.75
buf_size = 1
order = 1
len(r) = 191

+-------+-----------------+--------+--------------------+----------------+------------------+-------------------+-------------+
|   r   |        t        | r_filt |         v          |      tau       |      v_need      |       a_need      | cmnd,marker |
+-------+-----------------+--------+--------------------+----------------+------------------+-------------------+-------------+
| 1.176 |  5.20243382454  | 1.176  |        0.0         |      0.0       |       0.0        |        0.0        |     0.01    |
| 1.179 | 0.0624289512634 | 1.179  | -0.000583657034179 | -2020.0219152  |       0.0        |        0.0        |    -0.01    |
| 1.173 |  0.128901958466 | 1.173  |  -0.0902622019454  | -12.995472908  |       0.0        |        0.0        |    -0.01    |
| 1.168 |  0.193184137344 | 1.168  |  -0.0777820554189  | -15.0163169861 |       0.0        |        0.0        |    -0.01    |
| 1.165 |  0.258420944214 | 1.165  |  -0.0459863096304  | -25.3336266677 |       0.0        |        0.0        |    -0.01    |
| 1.162 |  0.327419996262 | 1.162  |  -0.0434788582012  | -26.7256328265 |       0.0        |        0.0        |    -0.01    |
| 1.169 |  0.389451026917 | 1.169  |   0.112846746638   | 10.3591821194  |       0.0        |        0.0        |    -0.01    |
| 1.166 |  0.455799102783 | 1.166  |  -0.0452160814132  | -25.7872854869 |       0.0        |        0.0        |    -0.01    |
| 1.166 |  0.519338130951 | 1.166  |        0.0         |    -1166.0     |       0.0        |        0.0        |    -0.01    |
| 1.162 |  0.585046052933 | 1.162  |  -0.0608754603609  | -19.0881513357 |       0.0        |        0.0        |    -0.01    |
| 1.157 |  0.650856971741 | 1.157  |  -0.0759752346657  | -15.2286466122 |       0.0        |        0.0        |    -0.01    |
| 1.158 |  0.715613126755 | 1.158  |  0.0154425475043   | 74.9876275062  |       0.0        |        0.0        |    -0.01    |
| 1.157 |  0.781167984009 | 1.157  |  -0.0152543997789  | -75.8469698429 | -0.0152510477663 |  5.0280188551e-05 |    -0.016   |
| 1.154 |  0.846194028854 | 1.154  |  -0.0461353601795  | -25.0133519173 | -0.0461046196905 | 0.000461107335115 |    -0.063   |
| 1.152 |  0.913712978363 | 1.152  |  -0.0296213139356  | -38.890914917  | -0.0296086197481 | 0.000190412812342 |    -0.038   |
| 1.152 |  0.978377103806 | 1.152  |        0.0         |    -1152.0     |       0.0        |        -0.0       |    -0.01    |
|  1.15 |  1.04221010208  |  1.15  |  -0.0313317571479  | -36.7039740086 | -0.031317529916  |  0.00021340847956 |    -0.041   |
| 1.149 |  1.10847902298  | 1.149  |  -0.0150900299332  | -76.1429901123 | -0.0150867269306 | 4.95450399011e-05 |    -0.016   |
| 1.144 |  1.17322397232  | 1.144  |  -0.0772261010458  | -14.8136444092 | -0.0771392148179 |  0.00130329341843 |    -0.108   |
| 1.141 |  1.24056911469  | 1.141  |  -0.0445466427818  | -25.6136024793 | -0.044517656463  | 0.000434794781579 |    -0.06    |
| 1.138 |  1.30312800407  | 1.138  |  -0.0479548155234  | -23.7306720416 | -0.0479211356123 | 0.000505198666934 |    -0.065   |
| 1.133 |  1.36902403831  | 1.133  |  -0.0758771003083  | -14.9320413589 | -0.0757924087173 |  0.0012703738639  |    -0.106   |
| 1.129 |  1.43610906601  | 1.129  |  -0.0596258231897  | -18.9347490668 | -0.0595733395937 | 0.000787253939559 |    -0.083   |
| 1.124 |  1.50003194809  | 1.124  |  -0.078219251656   | -14.3698638916 | -0.0781285302543 |  0.00136082102527 |    -0.11    |
| 1.122 |  1.56534814835  | 1.122  |  -0.0306202747887  | -36.6423883438 |  -0.03060634726  |  0.00020891292962 |    -0.04    |
| 1.114 |  1.63023495674  | 1.114  |  -0.123291624258   | -9.03548806906 | -0.123064203184  |  0.00341131611585 |    -0.174   |
| 1.109 |  1.69589400291  | 1.109  |  -0.0761509691569  | -14.5631764412 | -0.0760638190201 |  0.0013072520522  |    -0.107   |
| 1.105 |  1.76073408127  | 1.105  |  -0.061690240073   | -17.9120716453 | -0.0616328390817 | 0.000861014868837 |    -0.086   |
| 1.102 |  1.82664012909  | 1.102  |  -0.0455193430525  | -24.2094882329 | -0.0454880059292 | 0.000470056849349 |    -0.062   |
| 1.096 |  1.89190912247  | 1.096  |  -0.0919272642261  | -11.922469457  | -0.0917987572019 |  0.00192760536225 |    -0.129   |
| 1.088 |  1.95910215378  | 1.088  |  -0.119059965653   | -9.1382522583  |  -0.11884281989  |  0.0032571864479  |    -0.168   |
| 1.083 |  2.02186107635  | 1.083  |  -0.0796699464347  | -13.5935826302 | -0.0795722656042 |  0.00146521245727 |    -0.112   |
| 1.072 |  2.08777594566  | 1.072  |  -0.166881920808   | -6.42370362715 | -0.166448936114  |  0.00649477040404 |    -0.235   |
| 1.066 |  2.15610814095  | 1.066  |  -0.0878063404116  | -12.1403533618 | -0.0876857970498 |   0.001808150426  |    -0.123   |
| 1.058 |   2.2189450264  | 1.058  |  -0.127313757555   | -8.31017810106 | -0.127058420554  |  0.0038300550243  |    -0.18    |
| 1.056 |  2.28295397758  | 1.056  |  -0.0312456299144  | -33.7967262268 | -0.0312302213066 | 0.000231129116654 |    -0.04    |
| 1.049 |  2.34882807732  | 1.049  |  -0.106263311811   | -9.87170437404 | -0.106083904574  |  0.00269110854074 |    -0.15    |
| 1.043 |   2.4167740345  | 1.043  |  -0.0883054746549  | -11.8112722238 | -0.0881808684412 |  0.00186909320566 |    -0.124   |
| 1.039 |  2.47947597504  | 1.039  |  -0.063793878878   | -16.2868290544 | -0.0637285972132 | 0.000979224971679 |    -0.089   |
| 1.032 |  2.54433703423  | 1.032  |   -0.1079229986    | -9.56237329755 |  -0.10773489502  |  0.00282155368864 |    -0.152   |
| 1.026 |   2.6117579937  | 1.026  |  -0.0889930972049  | -11.5289840698 | -0.0888644459484 |  0.0019297688475  |    -0.125   |
| 1.021 |  2.67701196671  | 1.021  |  -0.0766236869508  | -13.3248612881 | -0.0765278464447 |  0.00143760759107 |    -0.107   |
| 1.015 |  2.74082398415  | 1.015  |  -0.0940261762695  | -10.7948662837 | -0.0938810051394 |  0.00217756695169 |    -0.132   |
| 1.012 |  2.80729198456  | 1.012  |  -0.0451345005327  | -22.421872139  | -0.0451009510739 | 0.000503241881999 |    -0.061   |
| 1.006 |  2.87141394615  | 1.006  |  -0.0935716851275  | -10.7511155605 | -0.0934266278006 |  0.00217585990497 |    -0.132   |
| 1.001 |  2.93756699562  | 1.001  |  -0.0755823055798  | -13.2438405037 | -0.0754871892808 |  0.0014267444847  |    -0.106   |
| 0.997 |  3.00214195251  | 0.997  |  -0.0619435179271  | -16.0953080058 | -0.0618793755096 | 0.000962136262082 |    -0.086   |
| 0.991 |  3.06726002693  | 0.991  |  -0.0921403167048  | -10.7553352912 | -0.0919975343644 |  0.00214173510657 |    -0.13    |
| 0.987 |  3.13295912743  | 0.987  |  -0.0608836341731  | -16.211253047  | -0.0608210401692 | 0.000938910058288 |    -0.084   |
| 0.987 |  3.19864797592  | 0.987  |        0.0         |     -987.0     |       0.0        |        -0.0       |    -0.01    |
| 0.983 |  3.26341509819  | 0.983  |  -0.0617597302441  | -15.9165202975 | -0.0616950597748 |  0.00097005703963 |    -0.086   |
|  0.98 |  3.32880210876  |  0.98  |  -0.045880672226   | -21.3597567876 | -0.0458448722926 | 0.000536999000998 |    -0.062   |
| 0.976 |  3.39465904236  | 0.976  |  -0.0607377201112  | -16.0690917969 | -0.0606747236863 | 0.000944946374054 |    -0.084   |
| 0.971 |  3.45954704285  | 0.971  |  -0.0770558495003  | -12.6012496948 | -0.0769539338817 |  0.00152873427966 |    -0.108   |
| 0.967 |  3.52544116974  | 0.967  |  -0.0607034372965  | -15.9299051762 | -0.0606399263123 | 0.000952664762049 |    -0.084   |
| 0.962 |  3.58998203278  | 0.962  |  -0.0774702996631  | -12.4176620483 | -0.0773663210191 |  0.00155967965953 |    -0.109   |
| 0.954 |  3.65574908257  | 0.954  |  -0.121641460665   | -7.84272068739 | -0.121382958831  |  0.00387752750332 |    -0.172   |
|  0.95 |  3.72021698952  |  0.95  |  -0.0620463760827  | -15.3111279011 | -0.0619788365601 |  0.00101309283816 |    -0.086   |
| 0.946 |  3.78674197197  | 0.946  |  -0.0601277873747  |  -15.73315835  | -0.0600640919762 | 0.000955430976367 |    -0.083   |
| 0.943 |  3.85118198395  | 0.943  |  -0.0465549261694  | -20.2556437651 | -0.0465166200339 | 0.000574592033574 |    -0.063   |
| 0.941 |  3.91621017456  | 0.941  |  -0.0307558918856  | -30.5957636833 | -0.030739137991  | 0.000251308418086 |    -0.04    |
| 0.939 |  3.98306918144  | 0.939  |  -0.0299136958995  | -31.390303731  | -0.029897813237  | 0.000238239936732 |    -0.038   |
|  0.93 |  4.04680609703  |  0.93  |  -0.141205452396   | -6.58614794413 | -0.140848123009  |  0.00535994080281 |    -0.199   |
| 0.926 |  4.11279201508  | 0.926  |  -0.0606189944538  | -15.2757400274 | -0.0605528558201 | 0.000992079505558 |    -0.084   |
| 0.922 |  4.17842102051  | 0.922  |  -0.0609486609413  | -15.1274857521 | -0.0608815109184 |  0.00100725034451 |    -0.084   |
| 0.914 |  4.24551916122  | 0.914  |  -0.119228340973   | -7.66596257687 | -0.118969125121  |  0.0038882377711  |    -0.168   |
| 0.909 |  4.30893707275  | 0.909  |  -0.0788420791446  | -11.5293763161 | -0.0787281064009 |  0.00170959115617 |    -0.111   |
| 0.906 |  4.37472009659  | 0.906  |  -0.0456044709583  | -19.8664731979 | -0.0455662118014 | 0.000573887354136 |    -0.062   |
| 0.901 |  4.44056200981  | 0.901  |  -0.0759394700917  | -11.8647127628 | -0.0758327959682 |  0.00160011185289 |    -0.106   |
| 0.898 |  4.50472402573  | 0.898  |  -0.046756635639   | -19.2058300972 | -0.0467160606024 |  0.00060862555019 |    -0.064   |
|  0.89 |  4.57109498978  |  0.89  |  -0.120534636109   | -7.38376975059 | -0.120262564976  |  0.00408106699492 |    -0.17    |
| 0.884 |  4.63474416733  | 0.884  |  -0.0942667325932  | -9.37764549255 | -0.0940991945676 |  0.00251307038286 |    -0.133   |
| 0.878 |  4.70058298111  | 0.878  |  -0.0911316540406  | -9.63441308339 | -0.0909740044892 |  0.00236474327112 |    -0.128   |
| 0.871 |   4.7657160759  | 0.871  |  -0.107472246219   | -8.10441793714 | -0.107251230457  |  0.00331523642575 |    -0.152   |
| 0.863 |  4.83187508583  | 0.863  |  -0.120920793828   | -7.13690319657 | -0.120638409927  |  0.00423575851097 |    -0.171   |
| 0.859 |   4.8966729641  | 0.859  |  -0.0617304162895  | -13.9153443575 | -0.0616564806222 |  0.00110903501027 |    -0.086   |
| 0.855 |  4.96210598946  | 0.855  |  -0.0611312097826  | -13.9863091707 | -0.0610583632951 |  0.00109269731272 |    -0.085   |
| 0.849 |  5.02955913544  | 0.849  |  -0.0889506325132  | -9.54462015629 | -0.0887953083078 |  0.00232986308142 |    -0.125   |
| 0.842 |  5.09356999397  | 0.842  |   -0.10935644608   | -7.69959184102 | -0.109119731268  |  0.00355072217911 |    -0.154   |
| 0.834 |  5.15727114677  | 0.834  |  -0.125586424235   | -6.64084517956 | -0.125271237386  |  0.00472780274346 |    -0.177   |
| 0.832 |  5.22481513023  | 0.832  |  -0.0296103353336  | -28.0982971191 | -0.0295927717927 |  0.00026345311255 |    -0.038   |
| 0.824 |  5.28872704506  | 0.824  |  -0.125172278469   | -6.58292722702 | -0.124855367075  |  0.00475367090323 |    -0.177   |
| 0.815 |  5.35443305969  | 0.815  |  -0.136973761843   | -5.95004465845 | -0.136590084717  |  0.0057551568814  |    -0.193   |
| 0.804 |  5.42038798332  | 0.804  |   -0.16678057368   | -4.82070532712 | -0.166203961745  |  0.00864917902894 |    -0.234   |
| 0.796 |  5.48414802551  | 0.796  |  -0.125470431404   | -6.34412419796 | -0.125140807678  |  0.00494435589094 |    -0.177   |
| 0.786 |  5.55144500732  | 0.786  |  -0.148595074115   | -5.28954277039 | -0.148126870212  |  0.00702305854047 |    -0.209   |
| 0.774 |  5.61541104317  | 0.774  |  -0.187599557201   | -4.12580931187 | -0.186841727875  |  0.0113674398779  |    -0.263   |
| 0.766 |  5.67956113815  | 0.766  |  -0.124707531637   | -6.14237159491 | -0.124369151123  |  0.00507570771771 |    -0.176   |
| 0.758 |  5.74563908577  | 0.758  |  -0.121069135598   | -6.26088553667 | -0.120746845897  |  0.00483434551265 |    -0.171   |
|  0.75 |  5.81060695648  |  0.75  |  -0.123137789684   | -6.09073787928 | -0.122800836012  |  0.00505430508277 |    -0.174   |
| 0.745 |  5.88085603714  | 0.745  |  -0.0711753086755  | -10.467113018  | -0.0710619770297 |  0.00169997468626 |    -0.099   |
| 0.734 |  5.94110512733  | 0.734  |  -0.182575371088   | -4.02025747299 | -0.181818473583  |  0.0113534625776  |    -0.256   |
| 0.726 |  6.00735497475  | 0.726  |  -0.120754995106   | -6.01217365265 | -0.120420243755  |  0.00502127026273 |    -0.17    |
| 0.719 |  6.07363796234  | 0.719  |  -0.105607792497   | -6.80820972579 | -0.105349261996  |  0.00387795752301 |    -0.149   |
| 0.713 |  6.13778710365  | 0.713  |  -0.093532039203   | -7.62305629253 | -0.0933275454593 |  0.0030674061562  |    -0.132   |
| 0.708 |  6.20268297195  | 0.708  |  -0.0770465074414  | -9.18925495148 | -0.076906767227  |  0.00209610321643 |    -0.108   |
| 0.701 |  6.26872801781  | 0.701  |  -0.105988267699   | -6.61393959182 | -0.105721184653  |  0.00400624568108 |    -0.149   |
| 0.698 |  6.33426594734  | 0.698  |  -0.0457750194626  | -15.2484916051 | -0.0457249871702 | 0.000750484386391 |    -0.062   |
| 0.691 |  6.39886498451  | 0.691  |  -0.108360748188   | -6.37684781211 | -0.108077534205  |  0.00424820974958 |    -0.153   |
| 0.685 |  6.46406817436  | 0.685  |  -0.0920200378818  | -7.44403084119 | -0.0918140114251 |  0.00309039685101 |    -0.129   |
| 0.679 |  6.53013205528  | 0.679  |  -0.0908211857434  | -7.47622919083 | -0.0906187191803 |  0.00303699844618 |    -0.128   |
| 0.681 |  6.59728813171  | 0.681  |  0.0297813705964   | 22.8666440248  | 0.0298030771562  |  0.00032559839743 |    -0.01    |
| 0.673 |  6.66198301315  | 0.673  |  -0.123657387138   | -5.44245690107 | -0.123278705876  |  0.00568021894275 |    -0.174   |
| 0.666 |  6.72543406487  | 0.666  |  -0.110321260422   | -6.0369143486  | -0.110016686336  |  0.00456861129925 |    -0.156   |
|  0.66 |  6.79054808617  |  0.66  |  -0.0921460521113  | -7.16254234314 | -0.0919316355729 |  0.00321624807564 |    -0.13    |
| 0.657 |  6.85730814934  | 0.657  |  -0.0449370455552  | -14.6204538345 | -0.0448858193232 | 0.000768393479159 |    -0.061   |
| 0.655 |  6.92208409309  | 0.655  |  -0.0308756597593  | -21.2141215801 | -0.0308514025999 | 0.000363857391439 |    -0.04    |
| 0.652 |  6.98711299896  | 0.652  |  -0.0461333304003  | -14.1329488754 | -0.0460789264081 | 0.000816059882599 |    -0.063   |
| 0.649 |  7.05216217041  | 0.649  |  -0.0461189579088  | -14.0723040899 | -0.0460643364841 | 0.000819321370798 |    -0.063   |
| 0.645 |  7.11928200722  | 0.645  |  -0.059594900558   | -10.8230736852 | -0.0595031291841 |  0.0013765706095  |    -0.082   |
| 0.646 |  7.18286108971  | 0.646  |  0.0157284433945   | 41.0720872879  | 0.0157348258488  | 9.57368156396e-05 |    -0.01    |
| 0.644 |  7.24752116203  | 0.644  |  -0.0309309892184  | -20.8205432892 | -0.0309062292264 | 0.000371399881223 |    -0.04    |
| 0.641 |  7.31368017197  | 0.641  |  -0.0453452976853  | -14.1359751225 | -0.0452918344502 | 0.000801948526588 |    -0.061   |
| 0.637 |  7.38019514084  | 0.637  |  -0.0601368393886  | -10.5925087929 | -0.0600422177389 |  0.00141932474555 |    -0.083   |
| 0.635 |  7.44462394714  | 0.635  |  -0.0310420154385  | -20.4561460018 | -0.0310167239234 | 0.000379372725387 |    -0.04    |
| 0.635 |  7.51089501381  | 0.635  |        0.0         |     -635.0     |       0.0        |        -0.0       |    -0.01    |
| 0.633 |  7.57486104965  | 0.633  |  -0.0312665928668  | -20.2452503443 | -0.0312408530082 | 0.000386097878948 |    -0.04    |
| 0.631 |  7.64115905762  | 0.631  |  -0.0301668189043  | -20.917021513  | -0.0301427820062 | 0.000360553471793 |    -0.039   |
| 0.631 |  7.70514416695  | 0.631  |        0.0         |     -631.0     |       0.0        |        -0.0       |    -0.01    |
|  0.63 |  7.77116513252  |  0.63  |  -0.0151467036459  | -41.593208313  | -0.0151406342641 | 9.10407267212e-05 |    -0.016   |
| 0.632 |  7.83606696129  | 0.632  |  0.0308157726528   |  20.50897789   | 0.0308408151592  | 0.000375637596594 |    -0.01    |
| 0.631 |  7.90080499649  | 0.631  |  -0.0154468697865  | -40.8497002125 | -0.0154405674678 | 9.45347805869e-05 |    -0.017   |
| 0.633 |   7.9697470665  | 0.633  |  0.0290098629152   | 21.8201651573  | 0.0290320212129  | 0.000332374465386 |    -0.01    |
|  0.63 |  8.03239703178  |  0.63  |  -0.0478851023507  | -13.1564927101 | -0.0478244414241 | 0.000909913899658 |    -0.065   |
|  0.63 |  8.09751605988  |  0.63  |        0.0         |     -630.0     |       0.0        |        -0.0       |    -0.01    |
| 0.629 |  8.16339302063  | 0.629  |  -0.0151798138309  | -41.4366083145 | -0.0151737081937 | 9.15845580056e-05 |    -0.016   |
| 0.628 |  8.22825503349  | 0.628  |  -0.015417344542   | -40.7333440781 | -0.0154110363012 | 9.46236117545e-05 |    -0.017   |
| 0.626 |  8.29290914536  | 0.626  |  -0.0309338407473  | -20.2367370129 | -0.0309083641098 | 0.000382149562051 |    -0.04    |
