start_height = 1.6
stop_height = 0.5
start_point = 12
v0 = 0.4
tau_dot = 0.75
buf_size = 1
order = 1
len(r) = 94

+-------+---------------+--------+------------------+----------------+------------------+-------------------+-------------+
|   r   |       t       | r_filt |        v         |      tau       |      v_need      |       a_need      | cmnd,marker |
+-------+---------------+--------+------------------+----------------+------------------+-------------------+-------------+
| 1.195 | 5.17409300804 | 1.195  |       0.0        |      0.0       |       0.0        |        0.0        |     0.01    |
| 1.195 | 5.24131584167 | 1.195  |       0.0        |    -1195.0     |       0.0        |        0.0        |    -0.01    |
| 1.195 | 5.30667996407 | 1.195  |       0.0        |    -1195.0     |       0.0        |        0.0        |    -0.01    |
| 1.193 | 5.37062692642 | 1.193  | -0.0312759187661 | -38.1443630457 |       0.0        |        0.0        |    -0.01    |
| 1.194 | 5.43892097473 | 1.194  | 0.0146425643926  | 81.5430936813  |       0.0        |        0.0        |    -0.01    |
| 1.192 | 5.50132799149 | 1.192  | -0.0320476783545 | -37.1945819855 |       0.0        |        0.0        |    -0.01    |
| 1.187 | 5.56553888321 | 1.187  | -0.0778684093272 | -15.2436656952 |       0.0        |        0.0        |    -0.01    |
| 1.187 | 5.63303685188 | 1.187  |       0.0        |    -1187.0     |       0.0        |        0.0        |    -0.01    |
| 1.184 | 5.69628000259 | 1.184  | -0.0474359668402 | -24.9599634806 |       0.0        |        0.0        |    -0.01    |
| 1.181 | 5.76211380959 | 1.181  | -0.0455692923908 | -25.9165753523 |       0.0        |        0.0        |    -0.01    |
|  1.18 | 5.82973098755 |  1.18  | -0.0147891413117 | -79.7882699966 |       0.0        |        0.0        |    -0.01    |
| 1.181 | 5.89564085007 | 1.181  | 0.0151722361691  | 77.8395476341  |       0.0        |        0.0        |    -0.01    |
| 1.178 | 5.95868682861 | 1.178  | -0.0475843197168 | -24.7560542425 | -0.0475522842403 | 0.000480532148326 |    -0.065   |
| 1.175 | 6.02347683907 | 1.175  | -0.0463034344193 | -25.3760874271 | -0.0462730229577 | 0.000456171923196 |    -0.063   |
| 1.177 | 6.08909296989 | 1.177  |  0.030480309868  | 38.6150929928  | 0.0304934654795  | 0.000197334173672 |    -0.01    |
| 1.177 | 6.15469694138 | 1.177  |       0.0        |    -1177.0     |       0.0        |        -0.0       |    -0.01    |
| 1.173 | 6.21898889542 | 1.173  | -0.062216183342  | -18.8536155224 | -0.0621611840031 | 0.000824990083044 |    -0.086   |
|  1.18 | 6.28425979614 |  1.18  |  0.107245340912  | 11.0028089796  |  0.107407792368  |  0.00243677185323 |    -0.01    |
| 1.181 |  6.3502779007 | 1.181  | 0.0151473600578  | 77.9673814773  | 0.0151505980273  | 4.85695420661e-05 |    -0.01    |
| 1.183 | 6.41853284836 | 1.183  | 0.0293019051145  | 40.3728015423  | 0.0293140015029  | 0.000181445824882 |    -0.01    |
| 1.181 | 6.48058080673 | 1.181  | -0.0322331314746 | -36.6393194199 | -0.0322184691155 | 0.000219935386253 |    -0.042   |
| 1.181 | 6.54555678368 | 1.181  |       0.0        |    -1181.0     |       0.0        |        -0.0       |    -0.01    |
| 1.178 | 6.61102390289 | 1.178  | -0.0458245304801 | -25.7067554792 | -0.0457948206952 | 0.000445646772861 |    -0.062   |
|  1.18 | 6.67621588707 |  1.18  | 0.0306786183188  | 38.4632706642  |  0.030691911788  | 0.000199402038549 |    -0.01    |
|  1.18 | 6.74142479897 |  1.18  |       0.0        |    -1180.0     |       0.0        |        -0.0       |    -0.01    |
| 1.181 | 6.80953478813 | 1.181  | 0.0146821341809  | 80.4378972053  | 0.0146851763071  | 4.56318933333e-05 |    -0.01    |
| 1.176 |  6.8720459938 | 1.176  | -0.0799856593094 | -14.7026355743 | -0.0798949888772 |  0.00136005648282 |    -0.112   |
|  1.17 | 6.94066381454 |  1.17  | -0.0874408416839 | -13.3804750443 | -0.0873319257182 |  0.00163373948598 |    -0.123   |
| 1.174 | 7.00465393066 | 1.174  |  0.062509653718  |  18.781099081  | 0.0625651258476  | 0.000832081943771 |    -0.01    |
| 1.168 | 7.06832385063 | 1.168  | -0.0942360223328 | -12.394411087  | -0.0941093038981 |  0.00190077652079 |    -0.133   |
| 1.162 | 7.13377785683 | 1.162  | -0.0916674218858 | -12.6762591998 | -0.0915468981303 |  0.00180785633287 |    -0.129   |
| 1.158 | 7.19942879677 | 1.158  | -0.0609282975014 | -19.005947113  | -0.0608748683501 | 0.000801437270385 |    -0.084   |
| 1.152 | 7.26404595375 | 1.152  | -0.0928545959029 | -12.4064941406 | -0.0927298566671 |  0.00187108853739 |    -0.131   |
| 1.146 | 7.33157682419 | 1.146  | -0.0888482550442 | -12.8983962536 | -0.0887334497443 |  0.00172207949922 |    -0.125   |
| 1.136 | 7.39544892311 | 1.136  | -0.156562883773  | -7.25587043762 | -0.156203260291  |  0.00539435223931 |    -0.221   |
| 1.128 | 7.46004486084 | 1.128  | -0.123846797202  | -9.10802721977 | -0.123620171476  |  0.00339938589922 |    -0.175   |
| 1.119 | 7.52642989159 | 1.119  | -0.135572732268  | -8.25387215614 | -0.135298976448  |  0.0041063372955  |    -0.191   |
| 1.108 | 7.59121394157 | 1.108  | -0.169794880099  | -6.5255206715  | -0.169361211307  |  0.00650503188353 |    -0.239   |
| 1.097 | 7.65872478485 | 1.097  | -0.162936788611  | -6.73267227953 | -0.162533440129  |  0.00605022722949 |    -0.229   |
| 1.085 | 7.72166180611 | 1.085  |  -0.19066679294  | -5.69055567185 | -0.190108362434  |  0.00837645758759 |    -0.267   |
| 1.075 | 7.78660082817 | 1.075  | -0.153990615844  | -6.9809448719  | -0.153622970732  |  0.00551467669026 |    -0.217   |
| 1.062 | 7.85212993622 | 1.062  | -0.198385120557  | -5.35322405742 | -0.197767470588  |  0.00926474954295 |    -0.278   |
| 1.046 | 7.91850495338 | 1.046  | -0.241054551594  | -4.33926674724 | -0.240128686443  |  0.0138879772572  |    -0.335   |
| 1.032 | 7.98344898224 | 1.032  | -0.215570241745  | -4.78730269841 | -0.214819748703  |  0.0112573956216  |    -0.301   |
| 1.017 | 8.04835700989 | 1.017  | -0.231096222506  | -4.4007642746  |  -0.23022101005  |  0.0131281868379  |    -0.321   |
|  1.0  | 8.11531496048 |  1.0   | -0.253890685866  |  -3.938702976  | -0.252816344527  |  0.0161151200924  |    -0.351   |
| 0.983 | 8.17874288559 | 0.983  | -0.268020749072  | -3.66762649312 | -0.266802791765  |  0.0182693595964  |    -0.37    |
| 0.968 | 8.24501681328 | 0.968  | -0.226333348922  | -4.27687746684 | -0.225451345051  |  0.0132300580667  |    -0.315   |
| 0.952 | 8.31010293961 | 0.952  | -0.245828118876  | -3.87262451649 | -0.244770145066  |  0.0158696071507  |    -0.341   |
| 0.934 | 8.37495493889 | 0.934  | -0.277555051487  | -3.36509818501 | -0.276180376137  |  0.0206201302479  |    -0.382   |
| 0.916 | 8.44467282295 | 0.916  | -0.258183395003  | -3.54786565569 | -0.256970537189  |  0.0181928672094  |    -0.357   |
| 0.901 |  8.5062057972 | 0.901  | -0.243771736772  | -3.69608065287 | -0.242672501484  |  0.0164885293143  |    -0.338   |
