start_height = 1.6
stop_height = 0.5
start_point = 12
v0 = 0.4
tau_dot = 0.75
buf_size = 1
order = 1
len(r) = 117

+-------+---------------+--------+------------------+-----------------+------------------+-------------------+-------------+
|   r   |       t       | r_filt |        v         |       tau       |      v_need      |       a_need      | cmnd,marker |
+-------+---------------+--------+------------------+-----------------+------------------+-------------------+-------------+
| 1.169 |  5.2338039875 | 1.169  |       0.0        |       0.0       |       0.0        |        0.0        |     0.01    |
| 1.167 | 5.29390597343 | 1.167  | -0.0332767706259 |  -35.069508791  |       0.0        |        0.0        |    -0.01    |
| 1.163 | 5.36282396317 | 1.163  | -0.0580399982011 |  -20.0379055142 |       0.0        |        0.0        |    -0.01    |
| 1.165 | 5.42491483688 | 1.165  | 0.0322108529037  |  36.1679339409  |       0.0        |        0.0        |    -0.01    |
| 1.162 | 5.49987792969 | 1.162  | -0.040019693529  |  -29.0357046127 |       0.0        |        0.0        |    -0.01    |
| 1.161 | 5.55619382858 | 1.161  | -0.017756974844  |  -65.3827586174 |       0.0        |        0.0        |    -0.01    |
| 1.157 | 5.68980789185 | 1.157  | -0.0299369684771 |  -38.6478677988 |       0.0        |        0.0        |    -0.01    |
| 1.155 | 5.75312185287 | 1.155  | -0.0315886096446 |  -36.5638124943 |       0.0        |        0.0        |    -0.01    |
| 1.152 | 5.82434487343 | 1.152  | -0.0421212127298 |  -27.3496398926 |       0.0        |        0.0        |    -0.01    |
| 1.151 |  5.8843588829 | 1.151  | -0.0166627760541 |  -69.0761249065 |       0.0        |        0.0        |    -0.01    |
| 1.148 | 5.95381498337 | 1.148  | -0.0431927502403 |  -26.5785344442 |       0.0        |        0.0        |    -0.01    |
| 1.148 | 6.01382803917 | 1.148  |       0.0        |     -1148.0     |       0.0        |        0.0        |    -0.01    |
| 1.151 | 6.08538985252 | 1.151  | 0.0419217996215  |  27.4558823903  | 0.0419472475984  | 0.000381719653238 |    -0.01    |
| 1.146 | 6.14575886726 | 1.146  | -0.0828239457201 |  -13.8365781784 | -0.0827241812351 |  0.00149646727414 |    -0.116   |
| 1.143 | 6.21768903732 | 1.143  | -0.041707116743  |  -27.4053947926 | -0.0416817524445 | 0.000380464476599 |    -0.056   |
| 1.136 | 6.27550292015 | 1.136  |  -0.12107818499  |  -9.38236727033 | -0.120863103903  |  0.00322621630291 |    -0.171   |
|  1.13 | 6.34512996674 |  1.13  | -0.0861734095337 |  -13.1130937735 | -0.0860638836265 |  0.00164288860855 |    -0.121   |
| 1.124 | 6.40766191483 | 1.124  | -0.0959509528058 |  -11.7143182755 | -0.095814437602  |  0.00204772805702 |    -0.135   |
|  1.12 | 6.47589087486 |  1.12  | -0.0586261317455 |  -19.1041088104 | -0.0585749855651 | 0.000767192706125 |    -0.081   |
| 1.111 | 6.53815603256 | 1.111  | -0.144543117411  |  -7.68628780047 | -0.144229695377  |  0.00470133051102 |    -0.204   |
| 1.106 |  6.6067199707 | 1.106  | -0.0729246326214 |  -15.1663431168 | -0.0728444939529 |  0.0012020800278  |    -0.102   |
| 1.101 | 6.66829800606 | 1.101  | -0.0811977837748 |  -13.5594833851 | -0.0810979793532 |  0.00149706632378 |    -0.114   |
| 1.089 | 6.80249285698 | 1.089  | -0.0894222089565 |  -12.1781827211 | -0.0892998286159 |  0.00183570510897 |    -0.126   |
| 1.081 | 6.86508893967 | 1.081  | -0.127803524702  |  -8.45829567313 | -0.127551693976  |  0.00377746089878 |    -0.18    |
|  1.07 | 6.93583989143 |  1.07  |  -0.15547494027  |  -6.88213803551 | -0.155098422247  |  0.00564777033923 |    -0.219   |
| 1.061 |  6.9960269928 | 1.061  | -0.149533700677  |  -7.09539050526 | -0.149182454563  |  0.00526869171493 |    -0.211   |
