start_height = 1.6
stop_height = 0.5
start_point = 12
v0 = 0.4
tau_dot = 0.5
buf_size = 1
order = 1
len(r) = 182

+-------+---------------+--------+------------------+----------------+------------------+-------------------+------------------+
|   r   |       t       | r_filt |        v         |      tau       |      v_need      |       a_need      |   cmnd,marker    |
+-------+---------------+--------+------------------+----------------+------------------+-------------------+------------------+
| 1.111 | 5.07161188126 | 1.111  |       0.0        |      0.0       |       0.0        |        0.0        |       0.4        |
|  1.1  | 5.13599395752 |  1.1   |  0.170855005592  | 6.43820762634  |       0.0        |        0.0        |       -0.4       |
| 1.089 | 5.20084285736 | 1.089  |  0.169625082722  | 6.42004108429  |       0.0        |        0.0        |       -0.4       |
|  1.08 |  5.2655479908 |  1.08  |  0.139092518967  | 7.76461601257  |       0.0        |        0.0        |       -0.4       |
| 1.069 | 5.33043789864 | 1.069  |  0.169517886012  | 6.30611922524  |       0.0        |        0.0        |       -0.4       |
| 1.054 | 5.39545798302 | 1.054  |   0.2306979473   | 4.56874459585  |       0.0        |        0.0        |       -0.4       |
| 1.038 |  5.460105896  | 1.038  |  0.24749445516   | 4.19403335452  |       0.0        |        0.0        |       -0.4       |
| 1.017 | 5.52450895309 | 1.017  |  0.326071477755  | 3.11894805091  |       0.0        |        0.0        |       -0.4       |
| 0.995 | 5.58973884583 | 0.995  |  0.337268682793  |  2.9501701485  |       0.0        |        0.0        |       -0.4       |
| 0.974 | 5.65536189079 | 0.974  |  0.320009533394  | 3.04365932374  |       0.0        |        0.0        |       -0.4       |
| 0.953 | 5.72041893005 | 0.953  |  0.322793662893  | 2.95235040074  |       0.0        |        0.0        |       -0.4       |
| 0.932 | 5.78525280952 | 0.932  |  0.323904726532  | 2.87738931747  |       0.0        |        0.0        |       -0.4       |
| 0.909 | 5.85153794289 | 0.909  |  0.346985799583  | 2.61970374895  |  0.351400876411  |  0.0662261524269  | -0.351400876411  |
| 0.887 | 5.91465687752 | 0.887  |  0.348548341769  | 2.54484068264  |  0.353113766292  |  0.0684813678411  | -0.353113766292  |
| 0.869 | 5.98028087616 | 0.869  |  0.274289899617  | 3.16818082333  |  0.27717578182   |   0.043288233045  |  -0.27717578182  |
| 0.852 | 6.04476690292 | 0.852  |  0.263623002581  | 3.23188792958  |  0.266341980964  |  0.0407846757568  | -0.266341980964  |
| 0.836 | 6.10988783836 | 0.836  |   0.2456967163   | 3.40256887674  |  0.248103689043  |  0.0361045911487  | -0.248103689043  |
| 0.825 | 6.17486190796 | 0.825  |  0.169298307286  | 4.87305521965  |  0.170456364533  |   0.017370858697  | -0.170456364533  |
| 0.814 | 6.23992681503 | 0.814  |  0.169061948978  | 4.81480312347  |  0.170232380698  |  0.0175564757938  | -0.170232380698  |
|  0.8  | 6.30506587029 |  0.8   |  0.214924824221  | 3.72223172869  |  0.216849519224  |  0.0288704250416  | -0.216849519224  |
|  0.79 | 6.36924982071 |  0.79  |  0.155802189393  | 5.07053208351  |  0.156826422398  |  0.0153634950758  | -0.156826422398  |
| 0.783 | 6.43449497223 | 0.783  |  0.107287665626  | 7.29813623428  |  0.107777688751  |  0.00735034686818 | -0.107777688751  |
| 0.783 | 6.49999189377 | 0.783  |       -0.0       |     -783.0     |       0.0        |        0.0        |      -0.01       |
|  0.78 | 6.56426692009 |  0.78  | 0.0466744266272  | 16.7115068436  | 0.0467675250076  |  0.00139647570576 | -0.0467675250076 |
| 0.779 | 6.63020682335 | 0.779  | 0.0151653240386  |  51.367184639  |  0.015175165162  | 0.000147616850575 | -0.015175165162  |
| 0.777 | 6.69409894943 | 0.777  | 0.0313027617423  | 24.8220909834  | 0.0313447979025  | 0.000630542401994 | -0.0313447979025 |
| 0.778 | 6.75950598717 | 0.778  | -0.0152888746323 | -50.8866753578 |  -0.01527885965  | 0.000150224734911 |      -0.01       |
| 0.778 | 6.82381081581 | 0.778  |       -0.0       |     -778.0     |       0.0        |        0.0        |      -0.01       |
| 0.783 | 6.89012098312 | 0.783  | -0.0754032179775 | -10.3841722012 | -0.0751611726271 |  0.0036306802563  |      -0.01       |
| 0.786 | 6.95441699028 | 0.786  | -0.0466591960011 | -16.845553875  | -0.0465668685808 |  0.00138491130501 |      -0.01       |
| 0.788 | 7.02016401291 | 0.788  | -0.0304196284491 | -25.9043269157 | -0.0303804848875 |  0.00058715342321 |      -0.01       |
| 0.788 |  7.084182024  | 0.788  |       -0.0       |     -788.0     |       0.0        |        0.0        |      -0.01       |
| 0.791 | 7.14915990829 | 0.791  | -0.0461695549595 | -17.1325021585 | -0.0460797265649 |  0.00134742591982 |      -0.01       |
| 0.789 | 7.21385192871 | 0.789  | 0.0309157139803  | 25.5210020542  | 0.0309560934214  | 0.000605691616549 | -0.0309560934214 |
| 0.789 | 7.27865195274 | 0.789  |       -0.0       |     -789.0     |       0.0        |        0.0        |      -0.01       |
| 0.788 | 7.34335780144 | 0.788  | 0.0154545534938  | 50.9882087707  |  0.015464656845  |  0.00015155026884 | -0.015464656845  |
| 0.791 | 7.40843987465 | 0.791  | -0.0460956428085 | -17.1599733035 | -0.0460061017935 |  0.00134311522498 |      -0.01       |
|  0.79 | 7.47532081604 |  0.79  | 0.0149519426492  | 52.8359436989  | 0.0149613755854  | 0.000141494043661 | -0.0149613755854 |
|  0.79 | 7.54035401344 |  0.79  |       -0.0       |     -790.0     |       0.0        |        0.0        |      -0.01       |
| 0.789 | 7.60276389122 | 0.789  | 0.0160231046049  | 49.2413935661  | 0.0160339512412  | 0.000162699544473 | -0.0160339512412 |
| 0.788 | 7.66918992996 | 0.788  | 0.0150543374095  | 52.3437185287  |  0.015063924257  | 0.000143802712461 | -0.015063924257  |
| 0.785 | 7.73345899582 | 0.785  | 0.0466787553234  | 16.8170722326  | 0.0467712778796  |  0.00138783834302 | -0.0467712778796 |
| 0.785 | 7.79875302315 | 0.785  |       -0.0       |     -785.0     |       0.0        |        0.0        |      -0.01       |
| 0.786 | 7.86443901062 | 0.786  | -0.0152239471229 | -51.6291861534 | -0.0152141180913 | 0.000147435474556 |      -0.01       |
| 0.782 | 7.92973279953 | 0.782  | 0.0612615696957  | 12.7649357319  | 0.0614215432644  |  0.00239960353042 | -0.0614215432644 |
|  0.78 | 7.99444794655 |  0.78  | 0.0309046659421  | 25.2389073372  | 0.0309454821121  | 0.000612242549355 | -0.0309454821121 |
| 0.778 | 8.05909895897 | 0.778  |  0.03093532375   | 25.1492438316  | 0.0309763260746  | 0.000615034868585 | -0.0309763260746 |
| 0.775 | 8.12309789658 | 0.775  | 0.0468757781329  | 16.5330588818  |  0.046970287319  |  0.00141763779069 | -0.046970287319  |
|  0.77 |  8.1885008812 |  0.77  | 0.0764491105278  | 10.0720596313  | 0.0767021177357  |  0.00379510811721 | -0.0767021177357 |
| 0.767 | 8.25390291214 | 0.767  | 0.0458701351726  | 16.7211192449  | 0.0459615766893  |  0.00137162275147 | -0.0459615766893 |
| 0.765 | 8.31863689423 | 0.765  | 0.0308956738879  |  24.760748148  | 0.0309372661609  | 0.000623884094763 | -0.0309372661609 |
| 0.763 | 8.38294291496 | 0.763  | 0.0311012868949  |  24.532746911  | 0.0311435450883  | 0.000633872900732 | -0.0311435450883 |
| 0.759 | 8.44897985458 | 0.759  | 0.0605721589001  | 12.5305092931  | 0.0607332913742  |  0.00241698711056 | -0.0607332913742 |
| 0.759 | 8.51328396797 | 0.759  |       -0.0       |     -759.0     |       0.0        |        0.0        |      -0.01       |
| 0.753 | 8.57851982117 | 0.753  | 0.0919739637964  |  8.187099576   | 0.0923484308179  |  0.00561700532299 | -0.0923484308179 |
| 0.749 | 8.64609384537 | 0.749  | 0.0591943434971  | 12.6532360315  | 0.0593502834304  |  0.00233909900003 | -0.0593502834304 |
| 0.747 | 8.70913982391 | 0.747  | 0.0317228798112  |  23.547672987  | 0.0317677857061  | 0.000673588422702 | -0.0317677857061 |
| 0.742 | 8.77382397652 | 0.742  | 0.0772986859807  | 9.59912824631  | 0.0775671085708  |  0.00402633885064 | -0.0775671085708 |
|  0.74 | 8.83809185028 |  0.74  | 0.0311197474393  | 23.7791132927  | 0.0311633708033  | 0.000654350459924 | -0.0311633708033 |
| 0.738 | 8.90368485451 | 0.738  | 0.0304910565323  | 24.2038185596  | 0.0305330486068  | 0.000629881116841 | -0.0305330486068 |
| 0.738 | 8.97006988525 | 0.738  |       -0.0       |     -738.0     |       0.0        |        0.0        |      -0.01       |
| 0.739 | 9.03255391121 | 0.739  | -0.0160040904009 | -46.1756951809 | -0.0159925373603 | 0.000173295608634 |      -0.01       |
|  0.74 | 9.09934401512 |  0.74  | -0.0149722779487 | -49.4246768951 | -0.0149621802412 |  0.00015146561282 |      -0.01       |
| 0.743 | 9.16276097298 | 0.743  | -0.0473059588706 | -15.7062665621 | -0.0472055616636 |  0.00150595810543 |      -0.01       |
| 0.748 | 9.22861981392 | 0.748  | -0.0759199513452 | -9.85248260498 | -0.0756630957743 |  0.00385283356435 |      -0.01       |
|  0.76 | 9.29245185852 |  0.76  | -0.187993351536  | -4.04269615809 | -0.186443285736  |  0.0232509869879  |      -0.01       |
| 0.765 |  9.3586769104 | 0.765  | -0.0755001296046 | -10.1324329376 | -0.0752517518455 |  0.00372566638582 |      -0.01       |
| 0.772 | 9.42266583443 | 0.772  | -0.109393931942  | -7.05706419264 | -0.108877220701  |  0.00775066861771 |      -0.01       |
| 0.781 |  9.4887239933 | 0.781  | -0.136243579194  | -5.73238023122 | -0.135451333659  |  0.0118836830163  |      -0.01       |
| 0.787 | 9.55343079567 | 0.787  | -0.092725954311  | -8.48737557729 | -0.0923617822397 |  0.00546258106918 |      -0.01       |
| 0.798 | 9.61791181564 | 0.798  | -0.170592834984  | -4.67780490355 | -0.169377216131  |  0.0182342827995  |      -0.01       |
|  0.8  | 9.68294501305 |  0.8   | -0.0307535240442 | -26.0132789612 | -0.0307141165758 | 0.000591112025709 |      -0.01       |
| 0.803 |  9.7476170063 | 0.803  | -0.0463879316065 | -17.3105368614 | -0.0462986065672 |  0.00133987559074 |      -0.01       |
| 0.806 | 9.81259179115 | 0.806  | -0.0461717573498 | -17.4565588633 | -0.0460835922887 |  0.00132247591611 |      -0.01       |
| 0.805 | 9.87754392624 | 0.805  | 0.0153959527069  | 52.2864687443  | 0.0154057678357  | 0.000147226931525 | -0.0154057678357 |
| 0.803 | 9.94200801849 | 0.803  | 0.0310250238551  | 25.8823330402  |  0.031064980356  | 0.000599347512585 | -0.031064980356  |
| 0.798 | 10.0074520111 | 0.798  | 0.0764012065925  | 10.4448612213  |  0.076645030501  |  0.00365735862707 | -0.076645030501  |
| 0.793 | 10.0726408958 | 0.793  | 0.0767001923766  |  10.338957119  | 0.0769474777701  |  0.00370928090202 | -0.0769474777701 |
| 0.788 | 10.1376979351 | 0.788  | 0.0768556340222  | 10.2529893875  | 0.0771054981711  |  0.00374796223411 | -0.0771054981711 |
| 0.784 | 10.2027118206 | 0.784  | 0.0615253183125  | 12.7427215576  | 0.0616862606932  |  0.00241413571011 | -0.0616862606932 |
| 0.777 | 10.2691779137 | 0.777  |  0.105316856722  | 7.37773633003  |  0.105792688567  |  0.00713747767679 | -0.105792688567  |
| 0.771 | 10.3327028751 | 0.771  | 0.0944510608273  | 8.16295754909  | 0.0948367505329  |  0.00578534558456 | -0.0948367505329 |
| 0.764 | 10.3977148533 | 0.764  |  0.107672465894  | 7.09559304374  |  0.108178284389  |  0.00758727742913 | -0.108178284389  |
| 0.757 | 10.4624698162 | 0.757  |  0.108099822534  | 7.00278670447  |  0.108614378749  |  0.00771834321795 | -0.108614378749  |
| 0.749 | 10.5280427933 | 0.749  |  0.122001476186  | 6.13926997781  |  0.12266388652   |  0.00993615500112 |  -0.12266388652  |
| 0.742 | 10.5915939808 | 0.742  |  0.110147430342  | 6.73642587662  |  0.110692464323  |  0.00817550971091 | -0.110692464323  |
| 0.737 | 10.6569788456 | 0.737  | 0.0764702965243  | 9.63772907257  | 0.0767347789417  |  0.00396723626222 | -0.0767347789417 |
| 0.732 | 10.7230479717 | 0.732  | 0.0756783128965  | 9.67252006531  | 0.0759391146744  |  0.00391202666862 | -0.0759391146744 |
| 0.729 | 10.7871170044 | 0.729  | 0.0468244934412  | 15.5687749386  | 0.0469247464447  |  0.00150379505215 | -0.0469247464447 |
| 0.728 | 10.8520958424 | 0.728  | 0.0153896257811  | 47.3045940399  | 0.0154004701301  | 0.000162665234671 | -0.0154004701301 |
| 0.725 | 10.9190778732 | 0.725  | 0.0447881314003  | 16.1873241266  | 0.0448803602148  |  0.00138343221678 | -0.0448803602148 |
| 0.725 | 10.9821619987 | 0.725  |       -0.0       |     -725.0     |       0.0        |        0.0        |      -0.01       |
| 0.724 | 11.0469138622 | 0.724  | 0.0154435709841  | 46.8803491592  | 0.0154545518259  | 0.000164712627583 | -0.0154545518259 |
| 0.721 | 11.1132450104 | 0.721  | 0.0452276205641  | 15.9415859381  | 0.0453221900353  |  0.00141854206789 | -0.0453221900353 |
| 0.722 | 11.1820318699 | 0.722  | -0.0145376603481 | -49.6641125679 | -0.0145279030273 | 0.000146359811908 |      -0.01       |
| 0.729 |  11.240885973 | 0.729  | -0.118938181582  | -6.1292344502  | -0.118291346144  |  0.00970253157623 |      -0.01       |
| 0.727 | 11.3068640232 | 0.727  | 0.0303131116026  | 23.9830212593  | 0.0303552429522  | 0.000631970244174 | -0.0303552429522 |
| 0.729 | 11.3714358807 | 0.729  | -0.0309732456043 | -23.5364420414 | -0.0309293799462 | 0.000657984871924 |      -0.01       |
| 0.728 | 11.4366729259 | 0.728  | 0.0153287138555  | 47.4925689697  | 0.0153394725308  |  0.00016138012944 | -0.0153394725308 |
| 0.729 | 11.5013129711 | 0.729  | -0.0154702862201 | -47.122592926  |  -0.01545934293  | 0.000164149352354 |      -0.01       |
| 0.728 | 11.5662548542 | 0.728  | 0.0153983831768  | 47.2776908874  | 0.0154092398712  | 0.000162850415151 | -0.0154092398712 |
| 0.725 | 11.6323578358 | 0.725  | 0.0453837320022  | 15.9748872121  | 0.0454784300772  |  0.00142047112445 | -0.0454784300772 |
| 0.724 | 11.6960279942 | 0.724  | 0.0157059449096  | 46.0971946716  | 0.0157173020323  | 0.000170356840817 | -0.0157173020323 |
| 0.723 | 11.7605569363 | 0.723  | 0.0154969222698  | 46.6544251442  | 0.0155079944044  |  0.00016608201925 | -0.0155079944044 |
| 0.724 | 11.8257119656 | 0.724  | -0.0153480093677 | -47.1722412109 | -0.0153371639997 | 0.000162680519027 |      -0.01       |
| 0.725 | 11.8906798363 | 0.725  | -0.0153922237105 | -47.1017062664 | -0.0153813308116 | 0.000163393483279 |      -0.01       |
| 0.723 | 11.9560649395 | 0.723  |  0.030588007074  | 23.6367148161  | 0.0306311433661  | 0.000647044382266 | -0.0306311433661 |
|  0.72 | 12.0214548111 |  0.72  |  0.045878664795  | 15.6935691834  | 0.0459761116414  |  0.00146170269679 | -0.0459761116414 |
| 0.716 | 12.0856568813 | 0.716  | 0.0623032868766  | 11.4921705723  | 0.0624839991464  |  0.00271068404723 | -0.0624839991464 |
| 0.712 | 12.1511678696 | 0.712  | 0.0610584591645  | 11.6609559059  | 0.0612329973403  |  0.00261807263732 | -0.0612329973403 |
| 0.709 | 12.2166848183 | 0.709  | 0.0457896782364  | 15.4838388761  | 0.0458882534424  |  0.00147862809097 | -0.0458882534424 |
| 0.705 | 12.2809329033 | 0.705  | 0.0622586649646  | 11.3237249851  | 0.0624419340598  |  0.00274903642778 | -0.0624419340598 |
| 0.699 | 12.3483378887 | 0.699  | 0.0890141873322  | 7.85268080235  |  0.089392037859  |  0.00566775790158 | -0.089392037859  |
| 0.694 |  12.411413908 | 0.694  |  0.079269428485  | 8.75495147705  | 0.0795712364722  |  0.00452711980716 | -0.0795712364722 |
| 0.687 | 12.4751799107 | 0.687  |  0.109776365282  | 6.25817768914  |  0.110361074179  |  0.00877063346028 | -0.110361074179  |
| 0.681 | 12.5400569439 | 0.681  | 0.0924826506538  | 7.36354327202  | 0.0929013016901  |  0.00627976554475 | -0.0929013016901 |
| 0.673 | 12.6064329147 | 0.673  |  0.120525544089  | 5.58387854695  |  0.121245029319  |  0.0107922784383  | -0.121245029319  |
| 0.665 | 12.6712188721 | 0.665  |  0.123483549968  | 5.38533270359  |  0.124247870124  |  0.0114648023404  | -0.124247870124  |
| 0.659 | 12.7356238365 | 0.659  | 0.0931605203344  | 7.07381192843  |  0.093599512876  |  0.00658488812516 | -0.093599512876  |
| 0.652 | 12.8010289669 | 0.652  |  0.107025243412  | 6.09202071599  |  0.107610846824  |  0.00878405117133 | -0.107610846824  |
| 0.644 |  12.865945816 | 0.644  |  0.123234570168  | 5.22580635548  |  0.124020634313  |  0.0117909621775  | -0.124020634313  |
| 0.634 | 12.9310588837 | 0.634  |  0.153579002871  | 4.12816848755  |  0.154819092783  |  0.0186013486773  | -0.154819092783  |
| 0.628 | 12.9955298901 | 0.628  | 0.0930650898077  | 6.74796533585  | 0.0935248090721  |  0.0068957889657  | -0.0935248090721 |
| 0.621 | 13.0601058006 | 0.621  |  0.108399555475  | 5.72880578041  |  0.109030283528  |  0.00946092079485 | -0.109030283528  |
| 0.615 | 13.1257839203 | 0.615  | 0.0913546251189  | 6.73200726509  | 0.0918069648224  |  0.00678509555334 | -0.0918069648224 |
| 0.607 | 13.1904540062 | 0.607  |  0.123704799333  | 4.90684276819  |  0.124545155038  |  0.0126053355668  | -0.124545155038  |
| 0.601 | 13.2554249763 | 0.601  |  0.092348936545  | 6.50792551041  | 0.0928219440925  |  0.00709511321214 | -0.0928219440925 |
| 0.593 | 13.3208339214 | 0.593  |  0.122307430425  | 4.84843805432  |  0.123148302125  |  0.0126130754951  | -0.123148302125  |
| 0.588 | 13.3859028816 | 0.588  | 0.0768415537211  | 7.65210971832  | 0.0771762829942  |  0.00502093909717 | -0.0771762829942 |
| 0.583 | 13.4493808746 | 0.583  | 0.0787674556613  | 7.40153398514  | 0.0791221904853  |  0.00532102235965 | -0.0791221904853 |
| 0.576 | 13.5160038471 | 0.576  |  0.105068863465  | 5.48211887905  |  0.105707721455  |  0.00958286985224 | -0.105707721455  |
| 0.569 | 13.5800938606 | 0.569  |  0.109221384382  | 5.20960252626  |  0.109920230944  |  0.0104826984239  | -0.109920230944  |
| 0.566 | 13.6448609829 | 0.566  | 0.0463197976831  |  12.219397068  | 0.0464461536111  |  0.00189533891997 | -0.0464461536111 |
| 0.562 | 13.7101438046 | 0.562  |  0.061271861396  | 9.17223644257  | 0.0614945328668  |  0.0033400720631  | -0.0614945328668 |
|  0.56 | 13.7749810219 |  0.56  | 0.0308464811158  | 18.1544208527  | 0.0309031183418  | 0.000849558390382 | -0.0309031183418 |
| 0.554 | 13.8405168056 | 0.554  |  0.091553036449  | 6.05113736788  |  0.092057366081  |  0.00756494447928 | -0.092057366081  |
| 0.553 | 13.9051430225 | 0.553  | 0.0154735964466  | 35.7382979393  | 0.0154880287665  | 0.000216484798365 | -0.0154880287665 |
