start_height = 1.6
stop_height = 0.4
start_point = 12
v0 = -0.4
tau_dot = 0.5
buf_size = 1
order = 1
len(r) = 52

+-------+---------------+--------+------------------+------------------+-----------------+-----------------+-------------+
|   r   |       t       | r_filt |        v         |       tau        |      v_need     |      a_need     | cmnd,marker |
+-------+---------------+--------+------------------+------------------+-----------------+-----------------+-------------+
|  1.31 |  5.2417318821 |  1.31  |       0.0        |       0.0        |       0.0       |       0.0       |    -0.539   |
| 1.308 | 5.30604290962 | 1.308  | -0.0310988655743 |  -42.0594120026  |       0.0       |       0.0       |    -0.539   |
| 1.302 | 5.37177300453 | 1.302  | -0.091282387592  |  -14.2634305954  |       0.0       |       0.0       |    -0.539   |
| 1.301 | 5.43563580513 | 1.301  | -0.0156585679086 |  -83.0855035782  |       0.0       |       0.0       |    -0.539   |
| 1.289 | 5.50113797188 | 1.289  |  -0.18320004659  |  -7.03602441152  |       0.0       |       0.0       |    -0.539   |
| 1.276 | 5.56579494476 | 1.276  | -0.201061067661  |  -6.34633056934  |       0.0       |       0.0       |    -0.539   |
| 1.258 | 5.63126087189 | 1.258  | -0.274952189494  |  -4.57534090678  |       0.0       |       0.0       |    -0.539   |
| 1.238 | 5.69520878792 | 1.238  |  -0.31275452339  |  -3.95837600231  |       0.0       |       0.0       |    -0.539   |
| 1.218 | 5.76059889793 | 1.218  | -0.305856650113  |  -3.98225769997  |       0.0       |       0.0       |    -0.539   |
| 1.193 | 5.82550501823 | 1.193  |  -0.38517168927  |  -3.09732006073  |       0.0       |       0.0       |    -0.539   |
| 1.166 | 5.88967680931 | 1.166  | -0.420745619641  |  -2.77127068131  |       0.0       |       0.0       |    -0.539   |
| 1.139 | 5.95488500595 | 1.139  | -0.414058375959  |  -2.75081985085  |       0.0       |       0.0       |    -0.539   |
| 1.108 | 6.01977300644 | 1.108  | -0.477746266902  |  -2.31922272713  | -0.470879795917 |  0.102997064774 |    -0.625   |
| 1.078 | 6.08514690399 | 1.078  | -0.458898751997  |  -2.34910205205  | -0.452387061688 | 0.0976753546309 |    -0.603   |
