start_height = 1.6
stop_height = 0.4
start_point = 12
v0 = -0.4
tau_dot = 0.5
buf_size = 1
order = 1
len(r) = 45

+--------+---------------+--------+------------------+------------------+-----------------+-----------------+-------------+
|   r    |       t       | r_filt |        v         |       tau        |      v_need     |      a_need     | cmnd,marker |
+--------+---------------+--------+------------------+------------------+-----------------+-----------------+-------------+
| 1.293  | 5.18892502785 | 1.293  |       0.0        |       0.0        |       0.0       |       0.0       |    -0.539   |
| 1.292  | 5.25307703018 | 1.292  | -0.0155879779837 |  -82.8843870163  |       0.0       |       0.0       |    -0.539   |
| 1.289  | 5.31774401665 | 1.289  | -0.0463915231554 |  -27.785248518   |       0.0       |       0.0       |    -0.539   |
| 1.281  | 5.38295006752 | 1.281  | -0.122688000468  |  -10.441118896   |       0.0       |       0.0       |    -0.539   |
| 1.267  | 5.44967794418 | 1.267  | -0.209807365378  |  -6.03887283802  |       0.0       |       0.0       |    -0.539   |
| 1.256  | 5.51287984848 | 1.256  | -0.174045388701  |  -7.21650834517  |       0.0       |       0.0       |    -0.539   |
| 1.235  | 5.58060288429 | 1.235  | -0.310086512633  |  -3.98275948706  |       0.0       |       0.0       |    -0.539   |
| 1.216  |  5.6427359581 | 1.216  | -0.305795268702  |  -3.97651672363  |       0.0       |       0.0       |    -0.539   |
| 1.193  | 5.70793199539 | 1.193  | -0.352782177494  |  -3.38169010826  |       0.0       |       0.0       |    -0.539   |
| 1.167  | 5.77224898338 | 1.167  | -0.404247786036  |  -2.88684326869  |       0.0       |       0.0       |    -0.539   |
| 1.142  | 5.83811306953 | 1.142  | -0.379569526595  |  -3.00867145538  |       0.0       |       0.0       |    -0.539   |
| 1.113  | 5.90271687508 | 1.113  | -0.448889964867  |  -2.47944950235  |       0.0       |       0.0       |    -0.539   |
| 1.081  | 5.96711707115 | 1.081  | -0.496892897073  |  -2.17551912367  | -0.489279497407 |  0.114200994987 |    -0.647   |
| 1.052  | 6.03239297867 | 1.052  | -0.444268047789  |  -2.36793981749  | -0.438014115651 | 0.0938089820752 |    -0.586   |
| 1.019  | 6.09706401825 | 1.019  |  -0.51027477235  |  -1.99696331313  | -0.501757260303 |  0.127762680715 |    -0.662   |
| 0.984  | 6.16320586205 | 0.984  | -0.529165774514  |  -1.85953069414  | -0.519680123535 |  0.142284764694 |    -0.683   |
|  0.95  | 6.22726988792 |  0.95  | -0.530719066333  |  -1.7900242525   | -0.520836163618 |  0.148243540721 |    -0.684   |
| 0.912  | 6.29266095161 | 0.912  | -0.581119159952  |  -1.56938552856  | -0.568776342771 |  0.18514225771  |    -0.74    |
| 0.875  | 6.35680985451 | 0.875  | -0.576783052107  |  -1.51703486571  | -0.564109578233 |  0.190102108113 |    -0.735   |
|  0.84  | 6.42294287682 |  0.84  | -0.529236359966  |  -1.5871925354   | -0.518121632795 |  0.166720907565 |    -0.681   |
| 0.802  | 6.48730587959 | 0.802  | -0.590401292053  |  -1.35839811124  | -0.575913607695 |  0.217315265373 |    -0.748   |
| 0.764  | 6.55429887772 | 0.764  | -0.567223457146  |   -1.346911857   | -0.553185828423 |  0.210564430849 |    -0.722   |
| 0.725  | 6.61752605438 | 0.725  | -0.616823367045  |  -1.17537700213  | -0.599330444464 |  0.262393838712 |    -0.775   |
| 0.689  | 6.68166089058 | 0.689  | -0.561317407742  |  -1.22746950388  | -0.546074193797 |  0.228648209168 |    -0.714   |
| 0.649  | 6.74720788002 | 0.649  | -0.610249232515  |  -1.06349990368  | -0.591122158772 |  0.286906106152 |    -0.766   |
| 0.609  | 6.81271100044 | 0.609  | -0.610657931135  |  -0.99728500843  | -0.590247251942 |  0.306160187897 |    -0.765   |
| 0.569  | 6.87705802917 | 0.569  | -0.621629324431  | -0.915336483717  | -0.598991772176 |  0.339563283825 |    -0.775   |
| 0.531  | 6.94249105453 | 0.531  | -0.580746492935  | -0.914340433321  | -0.559574710822 |  0.317576731691 |    -0.73    |
| 0.491  | 7.00733494759 | 0.491  | -0.616866109017  | -0.795958787203  | -0.591032857391 |  0.387498774393 |    -0.766   |
| 0.454  | 7.07331895828 | 0.454  |  -0.56074190716  | -0.809641644761  |  -0.53765589494 |  0.34629018331  |    -0.704   |
| 0.415  | 7.13622188568 | 0.415  | -0.620002941243  | -0.669351663345  | -0.589127146292 |  0.463136924278 |    -0.764   |
| 0.379  | 7.20166301727 | 0.379  | -0.550112736811  | -0.688949690925  | -0.523496727735 |  0.399240136151 |    -0.688   |
| 0.343  | 7.26697897911 | 0.343  | -0.551166958077  | -0.622315969732  | -0.521644604756 |  0.442835299819 |    -0.685   |
| 0.306  | 7.33197808266 | 0.306  | -0.569238619941  | -0.537560153652  | -0.533940950395 |  0.52946504319  |     -0.7    |
| 0.272  | 7.39613986015 | 0.272  | -0.529910506328  | -0.513294219971  | -0.495498111142 |  0.516185927789 |    -0.655   |
| 0.239  | 7.46180486679 | 0.239  | -0.502550775364  | -0.475573835951  | -0.467326607746 |  0.528362514266 |    -0.621   |
| 0.206  | 7.52652192116 | 0.206  | -0.509911959417  | -0.403991309079  | -0.467839110492 |  0.631092733875 |    -0.622   |
| 0.175  | 7.59151387215 | 0.175  | -0.476982142071  | -0.366890045904  | -0.433646529908 |  0.650034182442 |    -0.58    |
| 0.143  |  7.6558880806 | 0.143  | -0.497093490861  | -0.287672244012  | -0.439493971361 |  0.863992792506 |    -0.587   |
| 0.114  | 7.72127389908 | 0.114  | -0.443521250839  | -0.257033907134  | -0.386003385358 |  0.862767982217 |    -0.522   |
| 0.085  |  7.7861969471 | 0.085  | -0.446682663318  | -0.190291692471  | -0.368437407746 |  1.17367883358  |     -0.5    |
| 0.058  | 7.85060596466 | 0.058  | -0.419195960777  | -0.138360111802  | -0.318204435759 |  1.51487287528  |    -0.436   |
| 0.032  | 7.91578292847 | 0.032  | -0.398913948758  | -0.0802178016076 |  -0.23315109614 |  2.48644278928  |    -0.325   |
|  0.01  | 7.98062396049 |  0.01  | -0.339291330071  | -0.0294731963765 | 0.0444373587997 |  5.75593033306  |    -0.01    |
| -0.012 | 8.04611706734 | -0.012 | -0.335913213784  | 0.0357235128229  | -0.649351233769 |  -4.70157029978 |    -0.832   |
+--------+---------------+--------+------------------+------------------+-----------------+-----------------+-------------+
