start_height = 3
stop_height = 0.4
start_point = 12
v0 = -0.4
tau_dot = 0.5
buf_size = 12
order = 1
len(r) = 152

+--------+---------------+--------+------------------+------------------+------------------+------------------+-------------+
|   r    |       t       | r_filt |        v         |       tau        |      v_need      |      a_need      | cmnd,marker |
+--------+---------------+--------+------------------+------------------+------------------+------------------+-------------+
| 2.616  | 9.12582015991 | 2.616  |       0.0        |       0.0        |       0.0        |       0.0        |    -0.539   |
| 2.614  | 9.19000220299 | 2.614  | -0.0311613638981 |  -83.8859302997  |       0.0        |       0.0        |    -0.539   |
| 2.612  | 9.25747013092 | 2.612  | -0.0296437145957 |  -88.1131138802  |       0.0        |       0.0        |    -0.539   |
| 2.609  | 9.32016301155 | 2.609  | -0.047852323419  |  -54.5219085217  |       0.0        |       0.0        |    -0.539   |
| 2.599  | 9.38472008705 | 2.599  | -0.154901688505  |  -16.7783839226  |       0.0        |       0.0        |    -0.539   |
| 2.577  | 9.52276420593 | 2.577  | -0.159369339153  |  -16.1699861071  |       0.0        |       0.0        |    -0.539   |
| 2.556  |  9.5804669857 | 2.556  | -0.363933940163  |  -7.02325262342  |       0.0        |       0.0        |    -0.539   |
| 2.545  | 9.64598608017 | 2.545  | -0.167889988246  |  -15.1587359472  |       0.0        |       0.0        |    -0.539   |
| 2.518  | 9.71182513237 | 2.518  | -0.410090958142  |  -6.14010123853  |       0.0        |       0.0        |    -0.539   |
| 2.484  | 9.77503800392 | 2.484  | -0.537865139892  |  -4.61825802747  |       0.0        |       0.0        |    -0.539   |
| 2.456  | 9.83969211578 | 2.456  | -0.433073770462  |  -5.67108924048  |       0.0        |       0.0        |    -0.539   |
| 2.427  | 9.90528106689 | 2.427  | -0.442147640858  |  -5.48911670159  |       0.0        |       0.0        |    -0.539   |
| 2.395  | 9.97037005424 | 2.395  | -0.491634626726  |  -4.87150389701  | -0.488270609938  | 0.0504602518154  |    -0.646   |
| 2.365  | 10.0359401703 | 2.365  | -0.457525498053  |  -5.16911081473  | -0.454575116356  | 0.0442557254479  |    -0.606   |
| 2.339  | 10.1008570194 | 2.339  | -0.400512353047  |  -5.84001962038  | -0.398226331315  | 0.0342903259819  |    -0.537   |
| 2.305  | 10.1658110619 | 2.305  | -0.523447020779  |  -4.40350199447  | -0.519484666715  |  0.059435310968  |    -0.683   |
| 2.272  | 10.2300620079 | 2.272  |  -0.51361111441  |  -4.42358028527  | -0.509740862402  | 0.0580537801155  |    -0.671   |
|  2.24  | 10.2950501442 |  2.24  | -0.492397564018  |  -4.54916954041  | -0.488789597336  | 0.0541195002345  |    -0.647   |
| 2.217  | 10.3606450558 | 2.217  | -0.350636954112  |  -6.32277908533  | -0.348788415943  | 0.0277280725279  |    -0.475   |
| 2.186  | 10.4257349968 | 2.186  | -0.476264066489  |  -4.58989068001  | -0.472805276294  | 0.0518818529343  |    -0.628   |
| 2.151  | 10.4911181927 | 2.151  | -0.535305739196  |  -4.01826440947  | -0.530865134293  |  0.066609073551  |    -0.696   |
| 2.116  | 10.5550820827 | 2.116  | -0.547183730673  |   -3.86707404    | -0.542467126466  | 0.0707490631176  |    -0.71    |
| 2.085  | 10.6202352047 | 2.085  | -0.475802219035  |  -4.38207287942  | -0.472182910455  | 0.0542896286902  |    -0.627   |
| 2.054  | 10.6858401299 | 2.054  | -0.472525499061  |  -4.34685536354  | -0.468901994561  | 0.0543525674933  |    -0.623   |
| 2.018  | 10.7520329952 | 2.018  | -0.543865260974  |  -3.71047784222  | -0.538979409932  | 0.0732877656329  |    -0.706   |
| 1.986  |  10.815775156 | 1.986  | -0.502022516963  |  -3.95599785447  | -0.497792463127  | 0.0634508075371  |    -0.657   |
| 1.957  | 10.8814060688 | 1.957  | -0.441864950086  |  -4.42895504524  | -0.438539372943  | 0.0498836571576  |    -0.586   |
| 1.923  | 10.9456131458 | 1.923  | -0.529536642605  |  -3.63147673887  | -0.524676024545  | 0.0729092708947  |    -0.689   |
|  1.89  | 11.0098831654 |  1.89  | -0.513458689459  |  -3.68091930043  | -0.508808957082  | 0.0697459856563  |    -0.67    |
| 1.859  | 11.0759739876 | 1.859  | -0.469051510615  |  -3.96331737118  | -0.465106570331  | 0.0591741042523  |    -0.618   |
| 1.827  | 11.1408960819 | 1.827  |  -0.49289845503  |  -3.70664582402  | -0.488465890042  | 0.0664884748141  |    -0.646   |
|  1.8   |  11.206084013 |  1.8   | -0.414187098143  |  -4.34586207072  | -0.411010228656  | 0.0476530422966  |    -0.553   |
| 1.764  | 11.2708141804 | 1.764  | -0.556154903535  |  -3.17177820206  | -0.550310075933  | 0.0876724140381  |    -0.719   |
| 1.729  |  11.337387085 | 1.729  | -0.525739416317  |  -3.28870148659  | -0.520410672653  | 0.0799311549652  |    -0.684   |
| 1.696  | 11.4018230438 | 1.696  | -0.512136399964  |  -3.31161776456  | -0.506981453184  | 0.0773242017006  |    -0.668   |
| 1.664  | 11.4662241936 | 1.664  | -0.496885538913  |  -3.34885978699  | -0.491939720828  | 0.0741872712682  |    -0.65    |
| 1.633  | 11.5312111378 | 1.633  | -0.477018890214  |  -3.42334451214  | -0.472374125535  | 0.0696714701839  |    -0.627   |
| 1.598  | 11.5961921215 | 1.598  | -0.538619115759  |  -2.96684605735  |  -0.53256758151  | 0.0907730137236  |    -0.698   |
| 1.565  | 11.6612269878 | 1.565  | -0.507420124938  |   -3.084229267   | -0.501936095477  | 0.0822604419143  |    -0.662   |
