start_height = 2
stop_height = 0.4
start_point = 12
v0 = -0.4
tau_dot = 0.5
buf_size = 1
order = 1
len(r) = 61

+--------+---------------+--------+------------------+------------------+------------------+-----------------+-------------+
|   r    |       t       | r_filt |        v         |       tau        |      v_need      |      a_need     | cmnd,marker |
+--------+---------------+--------+------------------+------------------+------------------+-----------------+-------------+
| 1.659  | 6.25049614906 | 1.659  |       0.0        |       0.0        |       0.0        |       0.0       |    -0.539   |
| 1.654  | 6.31551814079 | 1.654  | -0.0768970600098 |  -21.5092748642  |       0.0        |       0.0       |    -0.539   |
| 1.652  | 6.38053107262 | 1.652  | -0.0307631104135 |  -53.7006816864  |       0.0        |       0.0       |    -0.539   |
| 1.645  | 6.44583821297 | 1.645  | -0.107185829336  |  -15.3471779823  |       0.0        |       0.0       |    -0.539   |
| 1.633  | 6.51193714142 | 1.633  | -0.181546059537  |  -8.99496251345  |       0.0        |       0.0       |    -0.539   |
| 1.622  | 6.57648611069 | 1.622  |  -0.17041325562  |  -9.51803892309  |       0.0        |       0.0       |    -0.539   |
| 1.605  | 6.64284706116 | 1.605  | -0.256174751561  |  -6.26525444143  |       0.0        |       0.0       |    -0.539   |
| 1.585  | 6.70618009567 | 1.585  | -0.315790963642  |  -5.01914298534  |       0.0        |       0.0       |    -0.539   |
| 1.567  | 6.77154016495 | 1.567  | -0.275397504924  |  -5.68995714188  |       0.0        |       0.0       |    -0.539   |
|  1.54  | 6.83634519577 |  1.54  | -0.416634320781  |  -3.69628694322  |       0.0        |       0.0       |    -0.539   |
| 1.513  | 6.90255618095 | 1.513  |  -0.40778731694  |   -3.710267429   |       0.0        |       0.0       |    -0.539   |
| 1.486  | 6.96645522118 | 1.486  | -0.422541557841  |  -3.51681384334  |       0.0        |       0.0       |    -0.539   |
| 1.456  | 7.03129410744 | 1.456  | -0.462685307074  |  -3.14684727987  |  -0.45778426098  | 0.0735156914087 |    -0.61    |
| 1.424  | 7.09770321846 | 1.424  |  -0.48186159259  |  -2.95520544052  |  -0.4764264195   |  0.081527596353 |    -0.632   |
| 1.393  | 7.16334915161 | 1.393  | -0.472230319715  |  -2.94983177031  | -0.466894079589  | 0.0800436018873 |    -0.62    |
| 1.359  | 7.22688913345 | 1.359  | -0.535096155434  |  -2.53973045069  | -0.528073150882  |  0.105345068271 |    -0.693   |
| 1.325  | 7.29234910011 | 1.325  | -0.519401425559  |  -2.55101340659  | -0.512614561637  |  0.10180295882  |    -0.675   |
| 1.288  | 7.35732507706 | 1.288  | -0.569441226438  |  -2.26186644064  |  -0.56104931882  |  0.125878614273 |    -0.731   |
| 1.251  | 7.42214012146 | 1.251  | -0.570855120763  |  -2.19144920401  | -0.562172052048  |  0.130246030736 |    -0.733   |
| 1.213  | 7.48762512207 | 1.213  |  -0.58028555617  |  -2.09035015106  | -0.571032153403  |  0.138801041509 |    -0.743   |
| 1.175  | 7.55196499825 | 1.175  | -0.590613508436  |  -1.98945669751  | -0.580717783149  |  0.148435879297 |    -0.754   |
| 1.134  | 7.61697506905 | 1.134  | -0.630671517428  |  -1.79808342166  |  -0.61897996649  |  0.175373264063 |    -0.797   |
| 1.095  | 7.68251919746 | 1.095  | -0.595018973344  |  -1.84027745174  | -0.584241269276  |  0.161665561023 |    -0.758   |
| 1.054  | 7.74770116806 | 1.054  | -0.629008292092  |  -1.67565358557  | -0.616495596598  |  0.18769043241  |    -0.795   |
| 1.014  | 7.81256222725 | 1.014  |  -0.61670284914  |  -1.64422785044  | -0.604200468991  |  0.187535702237 |    -0.781   |
| 0.974  | 7.87817120552 | 0.974  | -0.609672655387  |  -1.59757862091  | -0.596951890612  |  0.190811471626 |    -0.772   |
| 0.935  | 7.94335818291 | 0.935  | -0.598279005464  |  -1.56281599632  | -0.585518300709  |  0.191410571326 |    -0.759   |
| 0.895  |  8.0080370903 | 0.895  | -0.618439636837  |  -1.44719055295  | -0.604195034065  |  0.21366904157  |    -0.781   |
| 0.858  | 8.07285118103 | 0.858  | -0.570863520324  |  -1.50298621203  | -0.558202869242  |  0.189909766222 |    -0.728   |
| 0.819  | 8.13923001289 | 0.819  | -0.587536702668  |  -1.39395546913  | -0.573487073976  |  0.210744430392 |    -0.746   |
|  0.78  | 8.20319700241 |  0.78  | -0.609689470997  |  -1.27933979034  | -0.593803947448  |  0.238282853233 |    -0.769   |
| 0.741  | 8.27248716354 | 0.741  | -0.562850473464  |  -1.31651306152  | -0.548599431832  |  0.21376562448  |    -0.717   |
| 0.703  |  8.3389480114 | 0.703  | -0.571765200515  |  -1.22952568531  | -0.556264231121  |  0.23251454091  |    -0.726   |
| 0.667  | 8.39830112457 | 0.667  |  -0.60653937215  |  -1.09968129132  | -0.588154064306  |  0.275779617668 |    -0.762   |
| 0.631  |  8.4631562233 | 0.631  | -0.555083574123  |  -1.1367657582   | -0.538806882403  |  0.244150375801 |    -0.705   |
| 0.594  | 8.52860808372 | 0.594  | -0.565300967125  |  -1.05076770525  | -0.547368016315  |  0.268994262149 |    -0.715   |
| 0.555  | 8.59355115891 | 0.555  |  -0.60052592046  | -0.924189916024  | -0.578866378049  |  0.324893136166 |    -0.752   |
| 0.519  | 8.66013622284 | 0.519  | -0.540661792193  |  -0.95993467172  | -0.521887535704  |  0.281613847338 |    -0.686   |
| 0.481  | 8.72408413887 | 0.481  |  -0.59423359444  | -0.809445989759  | -0.569762799932  |  0.367061917631 |    -0.741   |
| 0.446  | 8.79117012024 | 0.446  | -0.521718536209  | -0.854867076874  | -0.501375469615  |  0.305145998906 |    -0.662   |
| 0.414  |  8.8539390564 | 0.414  | -0.509806314382  | -0.812073111534  | -0.488880188924  |  0.313891881865 |    -0.647   |
| 0.379  | 8.92107105255 | 0.379  | -0.521360930774  | -0.726943615505  | -0.497454403058  |  0.358597915749 |    -0.657   |
| 0.349  | 8.98399710655 | 0.349  | -0.476750059675  | -0.732039761543  | -0.455041309016  |  0.325631259885 |    -0.606   |
| 0.318  | 9.05339407921 | 0.318  | -0.446705364996  | -0.711878622732  | -0.425788626724  |  0.313751074082 |    -0.571   |
| 0.288  | 9.12930321693 | 0.288  | -0.395209337094  | -0.728727722168  | -0.377131742172  |  0.27116392383  |    -0.511   |
| 0.258  | 9.17954015732 | 0.258  | -0.597170125623  | -0.432037687302  |  -0.55109620328  |  0.69110883515  |    -0.72    |
| 0.232  |  9.2449631691 | 0.232  | -0.397413682016  |  -0.58377456665  | -0.374721493129  |  0.340382833305 |    -0.508   |
| 0.208  | 9.31034612656 | 0.208  | -0.367068131099  | -0.566652297974  | -0.345475340575  |  0.323891857857 |    -0.471   |
| 0.184  | 9.37555003166 | 0.184  | -0.368076113864  |  -0.49989660581  | -0.343532630966  |  0.36815224347  |    -0.469   |
| 0.159  | 9.43977022171 | 0.159  | -0.389285674509  | -0.408440408707  | -0.357515583025  |  0.476551372257 |    -0.486   |
| 0.135  | 9.50500321388 | 0.135  | -0.367911990556  | -0.366935580969  | -0.334489957767  |  0.501330491832 |    -0.457   |
| 0.114  | 9.58103013039 | 0.114  |  -0.27621796287  | -0.412717546735  | -0.253909084796  |  0.334633171106 |    -0.353   |
| 0.094  | 9.63525819778 | 0.094  | -0.368812700869  | -0.254871916771  | -0.320577662457  |  0.723525576183 |    -0.439   |
| 0.078  | 9.70310115814 | 0.078  | -0.235838765226  | -0.330734431744  | -0.212069567284  |  0.356537969123 |    -0.297   |
