r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.623,6.2292330265,1.623,0.0,0.0,0.0,0.0,-0.539,0.0
1.62,6.29266214371,1.62,-0.0472968903289,-34.2517232895,0.0,0.0,-0.539,0.0
1.615,6.35739302635,1.615,-0.0772428830833,-20.9080750942,0.0,0.0,-0.539,0.0
1.607,6.42266106606,1.607,-0.122571476581,-13.1107174754,0.0,0.0,-0.539,0.0
1.594,6.487169981,1.594,-0.20152253391,-7.90978541741,0.0,0.0,-0.539,0.0
1.579,6.5525841713,1.579,-0.229308043606,-6.88593376478,0.0,0.0,-0.539,0.0
1.56,6.6175031662,1.56,-0.29267243013,-5.3301911605,0.0,0.0,-0.539,0.0
1.539,6.68255615234,1.539,-0.3228137745,-4.76745455606,0.0,0.0,-0.539,0.0
1.513,6.74727916718,1.513,-0.401711818704,-3.76638159385,0.0,0.0,-0.539,0.0
1.486,6.8126001358,1.486,-0.41334353374,-3.59507256967,0.0,0.0,-0.539,0.0
1.462,6.87646603584,1.462,-0.375787391786,-3.89049774408,0.0,0.0,-0.539,0.0
1.432,6.94248604774,1.432,-0.454407673307,-3.15135523478,0.0,0.0,-0.539,0.0
1.401,7.00816011429,1.401,-0.472028026153,-2.96804410411,0.0,0.0,-0.539,0.0
1.365,7.07181406021,1.365,-0.565558025949,-2.41354544957,0.0,0.0,-0.539,0.0
1.331,7.13659214973,1.331,-0.524868829109,-2.53587168105,0.0,0.0,-0.539,0.0
1.294,7.20144605637,1.294,-0.570513048817,-2.26813392381,0.0,0.0,-0.539,0.0
1.262,7.26638913155,1.262,-0.492739216788,-2.56119252741,0.0,0.0,-0.539,0.0
1.23,7.33156704903,1.23,-0.490963830036,-2.50527620316,0.0,0.0,-0.539,0.0
1.198,7.39604711533,1.198,-0.496277405352,-2.41397248209,0.0,0.0,-0.539,0.0
1.166,7.4610581398,1.166,-0.492224207484,-2.36883920431,0.0,0.0,-0.539,0.0
1.139,7.52550411224,1.139,-0.418955583672,-2.71866528193,0.0,0.0,-0.539,0.0
1.107,7.59079504013,1.107,-0.49011403323,-2.25865803659,0.0,0.0,-0.539,0.0
1.08,7.65552306175,1.08,-0.417130005267,-2.58912086487,0.0,0.0,-0.539,0.0
1.051,7.72041010857,1.051,-0.446930495745,-2.35159607591,0.0,0.0,-0.539,0.0
1.027,7.78569197655,1.027,-0.367636538939,-2.79351993402,0.0,0.0,-0.539,0.0
1.0,7.85156607628,1.0,-0.409872774126,-2.43978147154,0.0,0.0,-0.539,0.0
0.975,7.91561508179,0.975,-0.390326122967,-2.49791121483,0.0,0.0,-0.539,0.0
0.952,7.98044419289,0.952,-0.354778888836,-2.68336146811,0.0,0.0,-0.539,0.0
0.929,8.0449090004,0.929,-0.35678381567,-2.60381765988,0.0,0.0,-0.539,0.0
0.907,8.10976409912,0.906006843945,-0.35453120121,-2.55830797658,0.0,0.0,-0.539,1
0.884,8.17490005493,0.885813842969,-0.31001312139,-2.85734306664,-0.306396555065,0.0542484948708,-0.421,1
0.862,8.23945808411,0.864692544486,-0.327167646733,-2.64296470974,-0.323041375889,0.0618940626651,-0.443,1
0.845,8.30452108383,0.843691664055,-0.32277762354,-2.61384805676,-0.318661372754,0.0617437617893,-0.437,1
0.824,8.37022995949,0.824719813693,-0.288725840641,-2.85641150741,-0.285356510044,0.0505399589471,-0.394,1
0.803,8.43421602249,0.806637326203,-0.282600407677,-2.85433886254,-0.279300164068,0.0495036541362,-0.386,1
0.783,8.49944210052,0.787359420124,-0.295555192957,-2.66400130631,-0.291857056721,0.0554720435492,-0.402,1
0.764,8.56453800201,0.76794802853,-0.298196831906,-2.57530579255,-0.294337137098,0.0578954221221,-0.406,1
0.745,8.62937307358,0.749000023137,-0.292249317167,-2.56288031876,-0.288448264174,0.0570157948905,-0.398,1
0.73,8.6940779686,0.730444598007,-0.286770036856,-2.54714406713,-0.283017205851,0.0562924650704,-0.391,1
0.714,8.75927901268,0.713088818362,-0.266188676726,-2.67888486893,-0.262876494111,0.0496827392274,-0.365,1
0.697,8.82392215729,0.697367396954,-0.243203227549,-2.86742657152,-0.240376032484,0.0424079259717,-0.335,1
0.681,8.8888399601,0.681415719034,-0.245721161674,-2.77312590577,-0.242767561417,0.0443040038614,-0.338,1
0.666,8.95376014709,0.666313949433,-0.232620549942,-2.86438128359,-0.229913501695,0.0406057236993,-0.321,1
0.653,9.01947808266,0.651233880336,-0.229466567502,-2.83803382525,-0.226771432048,0.040427031817,-0.317,1
0.637,9.08371496201,0.638172468039,-0.203331986696,-3.13857390766,-0.201172492261,0.0323924165367,-0.282,1
0.618,9.14867401123,0.624464905321,-0.211018524463,-2.95928950744,-0.208641619197,0.0356535789981,-0.292,1
0.6,9.21356105804,0.608526882055,-0.245627194457,-2.47744099915,-0.242322343544,0.0495727636987,-0.338,1
0.583,9.27863502502,0.591289880073,-0.264883221085,-2.23226627059,-0.260927850339,0.0593305611823,-0.362,1
0.564,9.34406304359,0.573344574141,-0.274275552336,-2.09039620651,-0.269901970724,0.0656037241845,-0.374,1
0.548,9.41115403175,0.553887137687,-0.290015648719,-1.90985258945,-0.284953902936,0.0759261867438,-0.394,1
0.527,9.47521495819,0.536086411503,-0.277871819438,-1.92925793118,-0.273070805623,0.0720152072326,-0.378,1
0.507,9.53845500946,0.515514843698,-0.325293344833,-1.58476910729,-0.318451268316,0.102631147761,-0.437,1
0.49,9.6028881073,0.49345560273,-0.342358845187,-1.44134030613,-0.334441241373,0.118764057222,-0.457,1
0.473,9.66790008545,0.472354801332,-0.324567902693,-1.45533429958,-0.317133919936,0.111509741366,-0.435,1
0.454,9.73304510117,0.452410933007,-0.306145728964,-1.47776333362,-0.299240118708,0.103584153835,-0.412,1
0.436,9.79861307144,0.432539590046,-0.303064787231,-1.42721823277,-0.29598657078,0.106173246765,-0.408,1
0.419,9.86261916161,0.414316669273,-0.28470604479,-1.45524366924,-0.278184661674,0.0978207467272,-0.385,1
0.401,9.92749500275,0.396481117651,-0.274918233175,-1.44217832725,-0.268563997411,0.0953135364679,-0.372,1
0.38,9.9922041893,0.379015226281,-0.269913628968,-1.40420929365,-0.263506378278,0.0961087603493,-0.365,1
0.362,10.0576710701,0.360357426044,-0.28499601645,-1.2644296946,-0.277482852804,0.112697454697,-0.384,1
0.344,10.1245131493,0.342070386338,-0.273585740218,-1.25032242567,-0.26629200183,0.109406075825,-0.369,1
0.326,10.1870331764,0.325610551378,-0.263272997597,-1.23677913933,-0.256177335722,0.106434928122,-0.356,1
0.313,10.2519710064,0.307501396602,-0.278869108863,-1.10267285558,-0.27043901383,0.126451425485,-0.375,1
0.295,10.3171870708,0.291672240895,-0.242718658976,-1.20168858103,-0.235985947945,0.100990665472,-0.329,1
0.28,10.382379055,0.275668928534,-0.245479755873,-1.12298029446,-0.238193200117,0.109298336349,-0.332,1
0.265,10.4464919567,0.261095294351,-0.227312035486,-1.14862063415,-0.220715368471,0.098950005218,-0.309,1
0.248,10.5108671188,0.24682264569,-0.221710488793,-1.11326553396,-0.215072045941,0.099576642782,-0.301,1
0.233,10.5762431622,0.231831424686,-0.229307560423,-1.011006459,-0.221747188005,0.113405586275,-0.31,1
0.219,10.6408991814,0.216811396497,-0.232306726767,-0.933297969951,-0.224009743586,0.124454747704,-0.313,1
0.206,10.7058889866,0.202894489758,-0.214139843816,-0.947485933221,-0.20660622823,0.113004233787,-0.29,1
0.193,10.7705361843,0.190554604711,-0.190880432272,-0.998293027959,-0.184506871707,0.0956034084813,-0.26,1
