r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.009,3.7773501873,1.009,0.0,0.0,0.0,0.0,0.01,0.0
1.01,3.9072701931,1.01,0.00769704399145,131.219205856,0.0,0.0,-0.01,0.0
1.007,3.97242903709,1.007,-0.0460413324747,-21.8716519674,0.0,0.0,-0.01,0.0
1.01,4.03324818611,1.01,0.0493265698135,20.4757801692,0.0,0.0,-0.01,0.0
1.011,4.10582017899,1.011,0.0137794204127,73.3702847958,0.0,0.0,-0.01,0.0
1.009,4.16578197479,1.009,-0.0333545714081,-30.2507259846,0.0,0.0,-0.01,0.0
1.007,4.23436117172,1.007,-0.0291633627912,-34.5296256542,0.0,0.0,-0.01,0.0
1.005,4.30007004738,1.005,-0.0304372884185,-33.0187100172,0.0,0.0,-0.01,0.0
1.003,4.36555814743,1.003,-0.0305398995912,-32.842282176,0.0,0.0,-0.01,0.0
1.001,4.43317317963,1.001,-0.0295792212921,-33.8413236141,0.0,0.0,-0.01,0.0
0.999,4.4944319725,0.999,-0.032648374316,-30.5987670422,0.0,0.0,-0.01,0.0
0.995,4.5684440136,0.995,-0.0540452599467,-18.4104952216,0.0,0.0,-0.01,0.0
0.995,4.62596702576,0.995,0.0,-995.0,0.0,-0.0,-0.01,1
0.995,4.68615603447,0.995,0.0,-995.0,0.0,-0.0,-0.01,1
0.992,4.75324010849,0.992,-0.0447200031275,-22.1824671427,-0.0446864030153,0.000504001683399,-0.061,1
0.988,4.81835103035,0.988,-0.0614336256614,-16.0823976994,-0.0613699601695,0.000954982379025,-0.085,1
0.984,4.88204312325,0.984,-0.0628021441619,-15.6682548523,-0.0627353401424,0.00100206029251,-0.087,1
0.981,4.94933605194,0.981,-0.0445812072405,-22.0047876835,-0.0445474409469,0.000506494403419,-0.06,1
0.979,5.01525998116,0.979,-0.0303379975046,-32.2697633505,-0.0303223285551,0.000235034242234,-0.039,1
0.978,5.07822203636,0.978,-0.0158825819253,-61.5768899918,-0.0158782830772,6.44827220384e-05,-0.017,1
0.978,5.14507699013,0.978,0.0,-978.0,0.0,-0.0,-0.01,1
0.977,5.2096259594,0.977,-0.0154921141473,-63.0643429756,-0.0154880198859,6.14139203561e-05,-0.017,1
0.977,5.27882814407,0.977,0.0,-977.0,0.0,-0.0,-0.01,1
0.975,5.34125304222,0.975,-0.0320384984093,-30.4321378469,-0.0320209519925,0.000263196251364,-0.042,1
0.975,5.41011810303,0.975,0.0,-975.0,0.0,-0.0,-0.01,1
0.969,5.47241210938,0.969,-0.0963174525413,-10.0604820251,-0.0961578885292,0.00239346018164,-0.136,1
0.963,5.54197502136,0.963,-0.0862528584355,-11.164847374,-0.0861241018486,0.00193134880277,-0.121,1
0.97,5.60078907013,0.97,0.119019182436,8.14994675773,0.119262577037,0.00365091901745,-0.01,1
0.963,5.66689014435,0.963,-0.105898430286,-9.09361921038,-0.105704341025,0.00291133892448,-0.149,1
0.955,5.73568296432,0.955,-0.116291206011,-8.21214288473,-0.116055191271,0.0035402210983,-0.164,1
0.946,5.79830598831,0.946,-0.143717109571,-6.58237563239,-0.143353215851,0.0054584058096,-0.203,1
0.938,5.87034201622,0.938,-0.111055540294,-8.44622427225,-0.110836397916,0.00328713566898,-0.157,1
0.93,5.93016004562,0.93,-0.133738942586,-6.95384591818,-0.133418403074,0.00480809267847,-0.189,1
0.928,5.99956798553,0.928,-0.0288151471225,-32.2052841187,-0.0288002348972,0.000223683379227,-0.037,1
0.922,6.07006907463,0.922,-0.0851050682611,-10.8336673578,-0.0849741414237,0.00196390256066,-0.12,1
0.919,6.12823104858,0.919,-0.0515800925603,-17.8169513543,-0.0515318425431,0.000723750258034,-0.071,1
0.908,6.18938803673,0.908,-0.179864972652,-5.04823138497,-0.179271150912,0.0089073260978,-0.252,1
0.895,6.34112811089,0.895,-0.0856728196039,-10.4467204901,-0.0855361374434,0.00205023240751,-0.12,1
0.881,6.39035415649,0.881,-0.284402287995,-3.09772472722,-0.282872120355,0.0229525145904,-0.391,1
